DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-1-2013,7:30 PM,Toronto Raptors,Philips Arena,True
11-3-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
11-5-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
11-7-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
11-9-2013,7:30 PM,Orlando Magic,Philips Arena,True
11-11-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-13-2013,8:00 PM,New York Knicks,Philips Arena,True
11-15-2013,7:30 PM,Philadelphia 76ers,Philips Arena,True
11-16-2013,7:30 PM,New York Knicks,Madison Square Garden,False
11-19-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
11-20-2013,7:30 PM,Detroit Pistons,Philips Arena,True
11-22-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-23-2013,7:30 PM,Boston Celtics,Philips Arena,True
11-26-2013,7:30 PM,Orlando Magic,Philips Arena,True
11-27-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-29-2013,7:30 PM,Dallas Mavericks,Philips Arena,True
11-30-2013,7:00 PM,Washington Wizards,Verizon Center,False
12-2-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-4-2013,7:30 PM,Los Angeles Clippers,Philips Arena,True
12-6-2013,7:30 PM,Cleveland Cavaliers,Philips Arena,True
12-10-2013,7:30 PM,Oklahoma City Thunder,Philips Arena,True
12-13-2013,7:30 PM,Washington Wizards,Philips Arena,True
12-14-2013,7:30 PM,New York Knicks,Madison Square Garden,False
12-16-2013,7:30 PM,Los Angeles Lakers,Philips Arena,True
12-18-2013,7:30 PM,Sacramento Kings,Philips Arena,True
12-20-2013,7:30 PM,Utah Jazz,Philips Arena,True
12-23-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
12-26-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-28-2013,7:30 PM,Charlotte Bobcats,Philips Arena,True
12-29-2013,6:00 PM,Orlando Magic,Amway Center,False
12-31-2013,1:00 PM,Boston Celtics,TD Garden,False
1-3-2014,7:30 PM,Golden State Warriors,Philips Arena,True
1-4-2014,8:00 PM,Chicago Bulls,United Center,False
1-6-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-8-2014,7:30 PM,Indiana Pacers,Philips Arena,True
1-10-2014,7:30 PM,Houston Rockets,Philips Arena,True
1-12-2014,6:00 PM,Memphis Grizzlies,FedExForum,False
1-16-2014,3:00 PM,Brooklyn Nets,Philips Arena,True
1-20-2014,5:30 PM,Miami Heat,Philips Arena,True
1-22-2014,7:00 PM,Orlando Magic,Amway Center,False
1-24-2014,7:30 PM,San-Antonio Spurs,Philips Arena,True
1-25-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-27-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-29-2014,7:30 PM,Detroit Pistons,Philips Arena,True
1-31-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
2-1-2014,7:30 PM,Minnesota Timberwolves,Philips Arena,True
2-4-2014,7:30 PM,Indiana Pacers,Philips Arena,True
2-5-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
2-8-2014,7:30 PM,Memphis Grizzlies,Philips Arena,True
2-11-2014,8:00 PM,Chicago Bulls,United Center,False
2-12-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
2-18-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
2-19-2014,7:30 PM,Washington Wizards,Philips Arena,True
2-21-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-22-2014,7:30 PM,New York Knicks,Philips Arena,True
2-25-2014,7:30 PM,Chicago Bulls,Philips Arena,True
2-26-2014,7:30 PM,Boston Celtics,TD Garden,False
3-2-2014,8:00 PM,Phoenix Suns,US Airways Center,False
3-5-2014,10:30 PM,Portland Trail Blazers,Rose Garden,False
3-7-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-8-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
3-10-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
3-13-2014,7:30 PM,Milwaukee Bucks,Philips Arena,True
3-15-2014,7:30 PM,Denver Nuggets,Philips Arena,True
3-17-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-18-2014,7:30 PM,Toronto Raptors,Philips Arena,True
3-21-2014,7:30 PM,New Orleans Pelicans,Philips Arena,True
3-23-2014,1:00 PM,Toronto Raptors,Air Canada Centre,False
3-24-2014,7:30 PM,Phoenix Suns,Philips Arena,True
3-26-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
3-27-2014,7:30 PM,Portland Trail Blazers,Philips Arena,True
3-29-2014,8:00 PM,Washington Wizards,Verizon Center,False
3-31-2014,7:30 PM,Philadelphia 76ers,Philips Arena,True
4-2-2014,7:30 PM,Chicago Bulls,Philips Arena,True
4-4-2014,7:30 PM,Cleveland Cavaliers,Philips Arena,True
4-6-2014,6:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
4-9-2014,7:30 PM,Boston Celtics,Philips Arena,True
4-11-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
4-12-2014,7:30 PM,Miami Heat,Philips Arena,True
4-14-2014,7:30 PM,Charlotte Bobcats,Philips Arena,True
4-16-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
