DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-1-2013,7:30 PM,Milwaukee Bucks,TD Garden,True
11-3-2013,6:00 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-4-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-6-2013,7:30 PM,Utah Jazz,TD Garden,True
11-8-2013,7:00 PM,Orlando Magic,Amway Center,False
11-9-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
11-11-2013,7:30 PM,Orlando Magic,TD Garden,True
11-13-2013,7:30 PM,Charlotte Bobcats,TD Garden,True
11-15-2013,7:30 PM,Portland Trail Blazers,TD Garden,True
11-16-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-19-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-20-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
11-22-2013,7:30 PM,Indiana Pacers,TD Garden,True
11-23-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-25-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-27-2013,7:30 PM,Memphis Grizzlies,TD Garden,True
11-29-2013,7:30 PM,Cleveland Cavaliers,TD Garden,True
11-30-2013,9:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-3-2013,7:30 PM,Milwaukee Bucks,TD Garden,True
12-6-2013,7:30 PM,Denver Nuggets,TD Garden,True
12-8-2013,12:00 PM,New York Knicks,Madison Square Garden,False
12-10-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
12-11-2013,7:30 PM,Los Angeles Clippers,TD Garden,True
12-13-2013,7:30 PM,New York Knicks,TD Garden,True
12-16-2013,7:30 PM,Minnesota Timberwolves,TD Garden,True
12-18-2013,7:30 PM,Detroit Pistons,TD Garden,True
12-21-2013,1:00 PM,Washington Wizards,TD Garden,True
12-22-2013,6:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-28-2013,1:00 PM,Cleveland Cavaliers,TD Garden,True
12-31-2013,1:00 PM,Atlanta Hawks,TD Garden,True
1-2-2014,8:00 PM,Chicago Bulls,United Center,False
1-3-2014,7:30 PM,New Orleans Pelicans,TD Garden,True
1-5-2014,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-7-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-8-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
1-10-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
1-11-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
1-13-2014,7:30 PM,Houston Rockets,TD Garden,True
1-15-2014,7:30 PM,Toronto Raptors,TD Garden,True
1-17-2014,7:30 PM,Los Angeles Lakers,TD Garden,True
1-19-2014,6:00 PM,Orlando Magic,Amway Center,False
1-21-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
1-22-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-24-2014,7:30 PM,Oklahoma City Thunder,TD Garden,True
1-26-2014,6:30 PM,Brooklyn Nets,TD Garden,True
1-28-2014,7:30 PM,New York Knicks,Madison Square Garden,False
1-29-2014,7:30 PM,Philadelphia 76ers,TD Garden,True
2-2-2014,1:00 PM,Orlando Magic,TD Garden,True
2-5-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
2-7-2014,7:30 PM,Sacramento Kings,TD Garden,True
2-9-2014,6:00 PM,Dallas Mavericks,TD Garden,True
2-10-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
2-12-2014,7:30 PM,San-Antonio Spurs,TD Garden,True
2-19-2014,9:00 PM,Phoenix Suns,US Airways Center,False
2-21-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
2-22-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
2-24-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-26-2014,7:30 PM,Atlanta Hawks,TD Garden,True
3-1-2014,8:00 PM,Indiana Pacers,TD Garden,True
3-5-2014,7:30 PM,Golden State Warriors,TD Garden,True
3-7-2014,7:30 PM,Brooklyn Nets,TD Garden,True
3-9-2014,6:00 PM,Detroit Pistons,TD Garden,True
3-11-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-12-2014,7:30 PM,New York Knicks,TD Garden,True
3-14-2014,7:30 PM,Phoenix Suns,TD Garden,True
3-16-2014,6:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-17-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
3-19-2014,7:30 PM,Miami Heat,TD Garden,True
3-21-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
3-26-2014,7:30 PM,Toronto Raptors,TD Garden,True
3-28-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
3-30-2014,7:00 PM,Chicago Bulls,TD Garden,True
3-31-2014,8:00 PM,Chicago Bulls,United Center,False
4-2-2014,7:00 PM,Washington Wizards,Verizon Center,False
4-4-2014,7:30 PM,Philadelphia 76ers,TD Garden,True
4-5-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
4-9-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
4-11-2014,7:30 PM,Charlotte Bobcats,TD Garden,True
4-12-2014,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
4-14-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
4-16-2014,8:00 PM,Washington Wizards,TD Garden,True
