DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-1-2013,8:00 PM,Miami Heat,Barclays Center,True
11-3-2013,6:00 PM,Orlando Magic,Amway Center,False
11-5-2013,7:30 PM,Utah Jazz,Barclays Center,True
11-8-2013,7:00 PM,Washington Wizards,Verizon Center,False
11-9-2013,7:30 PM,Indiana Pacers,Barclays Center,True
11-13-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
11-15-2013,9:00 PM,Phoenix Suns,US Airways Center,False
11-16-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-18-2013,7:30 PM,Portland Trail Blazers,Barclays Center,True
11-20-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-22-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-24-2013,2:00 PM,Detroit Pistons,Barclays Center,True
11-26-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-27-2013,7:30 PM,Los Angeles Lakers,Barclays Center,True
11-29-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-30-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-3-2013,7:30 PM,Denver Nuggets,Barclays Center,True
12-5-2013,7:00 PM,New York Knicks,Barclays Center,True
12-7-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-10-2013,7:30 PM,Boston Celtics,Barclays Center,True
12-12-2013,8:00 PM,Los Angeles Clippers,Barclays Center,True
12-13-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-16-2013,7:30 PM,Philadelphia 76ers,Barclays Center,True
12-18-2013,7:30 PM,Washington Wizards,Barclays Center,True
12-20-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
12-23-2013,7:30 PM,Indiana Pacers,Barclays Center,True
12-25-2013,12:00 PM,Chicago Bulls,Barclays Center,True
12-27-2013,7:30 PM,Milwaukee Bucks,Barclays Center,True
12-28-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-31-2013,7:00 PM,San-Antonio Spurs,AT&T Center,False
1-2-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-4-2014,7:30 PM,Cleveland Cavaliers,Barclays Center,True
1-6-2014,7:30 PM,Atlanta Hawks,Barclays Center,True
1-8-2014,7:30 PM,Golden State Warriors,Barclays Center,True
1-10-2014,8:00 PM,Miami Heat,Barclays Center,True
1-11-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-16-2014,3:00 PM,Atlanta Hawks,Philips Arena,False
1-20-2014,2:30 PM,New York Knicks,Madison Square Garden,False
1-21-2014,7:30 PM,Orlando Magic,Barclays Center,True
1-24-2014,7:30 PM,Dallas Mavericks,Barclays Center,True
1-26-2014,6:30 PM,Boston Celtics,TD Garden,False
1-27-2014,7:30 PM,Toronto Raptors,Barclays Center,True
1-31-2014,8:00 PM,Oklahoma City Thunder,Barclays Center,True
2-1-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
2-3-2014,7:30 PM,Philadelphia 76ers,Barclays Center,True
2-6-2014,8:00 PM,San-Antonio Spurs,Barclays Center,True
2-7-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-9-2014,6:00 PM,New Orleans Pelicans,Barclays Center,True
2-12-2014,7:30 PM,Charlotte Bobcats,Barclays Center,True
2-13-2014,8:00 PM,Chicago Bulls,United Center,False
2-19-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-22-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-23-2014,9:00 PM,Los Angeles Lakers,Staples Center,False
2-26-2014,10:00 PM,Portland Trail Blazers,Moda Center,False
2-27-2014,10:30 PM,Denver Nuggets,Pepsi Center,False
3-1-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
3-3-2014,7:30 PM,Chicago Bulls,Barclays Center,True
3-5-2014,7:30 PM,Memphis Grizzlies,Barclays Center,True
3-7-2014,7:30 PM,Boston Celtics,TD Garden,False
3-9-2014,6:00 PM,Sacramento Kings,Barclays Center,True
3-10-2014,7:30 PM,Toronto Raptors,Barclays Center,True
3-12-2014,7:00 PM,Miami Heat,AmericanAirlines Arena,False
3-15-2014,7:00 PM,Washington Wizards,Verizon Center,False
3-17-2014,7:30 PM,Phoenix Suns,Barclays Center,True
3-19-2014,7:30 PM,Charlotte Bobcats,Barclays Center,True
3-21-2014,7:30 PM,Boston Celtics,Barclays Center,True
3-23-2014,7:30 PM,Dallas Mavericks,American Airlines Center,False
3-24-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-26-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-28-2014,7:30 PM,Cleveland Cavaliers,Barclays Center,True
3-30-2014,6:00 PM,Minnesota Timberwolves,Barclays Center,True
4-1-2014,8:00 PM,Houston Rockets,Barclays Center,True
4-2-2014,7:00 PM,New York Knicks,Madison Square Garden,False
4-4-2014,7:30 PM,Detroit Pistons,Barclays Center,True
4-5-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
4-8-2014,8:00 PM,Miami Heat,AmericanAirlines Arena,False
4-9-2014,7:00 PM,Orlando Magic,Amway Center,False
4-11-2014,7:30 PM,Atlanta Hawks,Barclays Center,True
4-13-2014,6:00 PM,Orlando Magic,Barclays Center,True
4-15-2014,8:00 PM,New York Knicks,Barclays Center,True
4-16-2014,8:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
