DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-1-2013,7:00 PM,Cleveland Cavaliers,Time Warner Cable Arena,True
11-2-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-5-2013,7:30 PM,New York Knicks,Madison Square Garden,False
11-6-2013,7:00 PM,Toronto Raptors,Time Warner Cable Arena,True
11-8-2013,7:00 PM,New York Knicks,Time Warner Cable Arena,True
11-11-2013,7:00 PM,Atlanta Hawks,Time Warner Cable Arena,True
11-13-2013,7:30 PM,Boston Celtics,TD Garden,False
11-15-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-16-2013,7:00 PM,Miami Heat,Time Warner Cable Arena,True
11-18-2013,8:00 PM,Chicago Bulls,United Center,False
11-20-2013,7:00 PM,Brooklyn Nets,Time Warner Cable Arena,True
11-22-2013,7:00 PM,Phoenix Suns,Time Warner Cable Arena,True
11-23-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-25-2013,7:00 PM,Boston Celtics,Time Warner Cable Arena,True
11-27-2013,7:00 PM,Indiana Pacers,Time Warner Cable Arena,True
11-29-2013,7:00 PM,Milwaukee Bucks,Time Warner Cable Arena,True
12-1-2013,6:00 PM,Miami Heat,AmericanAirlines Arena,False
12-3-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-6-2013,7:00 PM,Philadelphia 76ers,Time Warner Cable Arena,True
12-9-2013,7:00 PM,Golden State Warriors,Time Warner Cable Arena,True
12-11-2013,7:00 PM,Orlando Magic,Time Warner Cable Arena,True
12-13-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-14-2013,7:00 PM,Los Angeles Lakers,Time Warner Cable Arena,True
12-17-2013,7:00 PM,Sacramento Kings,Time Warner Cable Arena,True
12-18-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
12-20-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-21-2013,7:00 PM,Utah Jazz,Time Warner Cable Arena,True
12-23-2013,7:00 PM,Milwaukee Bucks,Time Warner Cable Arena,True
12-27-2013,7:00 PM,Oklahoma City Thunder,Time Warner Cable Arena,True
12-28-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-30-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-1-2014,9:30 PM,Los Angeles Clippers,Staples Center,False
1-2-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
1-4-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-7-2014,7:00 PM,Washington Wizards,Time Warner Cable Arena,True
1-10-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
1-11-2014,8:00 PM,Chicago Bulls,United Center,False
1-14-2014,7:00 PM,New York Knicks,Time Warner Cable Arena,True
1-15-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
1-17-2014,7:00 PM,Orlando Magic,Amway Center,False
1-18-2014,7:00 PM,Miami Heat,Time Warner Cable Arena,True
1-20-2014,2:00 PM,Toronto Raptors,Time Warner Cable Arena,True
1-22-2014,7:00 PM,Los Angeles Clippers,Time Warner Cable Arena,True
1-24-2014,7:30 PM,New York Knicks,Madison Square Garden,False
1-25-2014,7:00 PM,Chicago Bulls,Time Warner Cable Arena,True
1-29-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-31-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
2-1-2014,9:00 PM,Phoenix Suns,US Airways Center,False
2-4-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-8-2014,7:00 PM,San-Antonio Spurs,Time Warner Cable Arena,True
2-11-2014,7:00 PM,Dallas Mavericks,Time Warner Cable Arena,True
2-12-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
2-18-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-19-2014,7:00 PM,Detroit Pistons,Time Warner Cable Arena,True
2-21-2014,7:00 PM,New Orleans Pelicans,Time Warner Cable Arena,True
2-22-2014,7:00 PM,Memphis Grizzlies,Time Warner Cable Arena,True
2-28-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
3-2-2014,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
