DATE,TIME(EST),OPPONENT,ARENA,HOME
10-29-2013,8:00 PM,Miami Heat,AmericanAirlines Arena,False
10-31-2013,8:00 PM,New York Knicks,United Center,True
11-2-2013,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
11-6-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-8-2013,8:00 PM,Utah Jazz,United Center,True
11-11-2013,8:00 PM,Cleveland Cavaliers,United Center,True
11-15-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-16-2013,8:00 PM,Indiana Pacers,United Center,True
11-18-2013,8:00 PM,Charlotte Bobcats,United Center,True
11-21-2013,10:30 PM,Denver Nuggets,Pepsi Center,False
11-22-2013,10:00 PM,Portland Trail Blazers,Moda Center,False
11-24-2013,3:30 PM,Los Angeles Clippers,Staples Center,False
11-25-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
11-27-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-30-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-2-2013,8:00 PM,New Orleans Pelicans,United Center,True
12-5-2013,9:30 PM,Miami Heat,United Center,True
12-7-2013,8:00 PM,Detroit Pistons,United Center,True
12-10-2013,8:00 PM,Milwaukee Bucks,United Center,True
12-11-2013,8:00 PM,New York Knicks,Madison Square Garden,False
12-13-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-14-2013,8:00 PM,Toronto Raptors,United Center,True
12-16-2013,8:00 PM,Orlando Magic,United Center,True
12-18-2013,9:30 PM,Houston Rockets,Toyota Center,False
12-19-2013,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-21-2013,8:00 PM,Cleveland Cavaliers,United Center,True
12-25-2013,12:00 PM,Brooklyn Nets,Barclays Center,False
12-28-2013,8:00 PM,Dallas Mavericks,United Center,True
12-30-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-31-2013,7:00 PM,Toronto Raptors,United Center,True
1-2-2014,8:00 PM,Boston Celtics,United Center,True
1-4-2014,8:00 PM,Atlanta Hawks,United Center,True
1-7-2014,8:00 PM,Phoenix Suns,United Center,True
1-10-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-11-2014,8:00 PM,Charlotte Bobcats,United Center,True
1-13-2014,8:00 PM,Washington Wizards,United Center,True
1-15-2014,7:00 PM,Orlando Magic,Amway Center,False
1-17-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-18-2014,8:00 PM,Philadelphia 76ers,United Center,True
1-20-2014,8:00 PM,Los Angeles Lakers,United Center,True
1-22-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-24-2014,8:00 PM,Los Angeles Clippers,United Center,True
1-25-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-27-2014,8:00 PM,Minnesota Timberwolves,United Center,True
1-29-2014,9:30 PM,San-Antonio Spurs,AT&T Center,False
2-1-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
2-3-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
2-4-2014,9:00 PM,Phoenix Suns,US Airways Center,False
2-6-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-9-2014,3:30 PM,Los Angeles Lakers,Staples Center,False
2-11-2014,8:00 PM,Atlanta Hawks,United Center,True
2-13-2014,8:00 PM,Brooklyn Nets,United Center,True
2-19-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
2-21-2014,8:00 PM,Denver Nuggets,United Center,True
2-23-2014,3:30 PM,Miami Heat,AmericanAirlines Arena,False
2-25-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-26-2014,8:00 PM,Golden State Warriors,United Center,True
2-28-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
3-2-2014,1:00 PM,New York Knicks,United Center,True
3-3-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
3-5-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
3-7-2014,7:00 PM,Memphis Grizzlies,United Center,True
3-9-2014,1:00 PM,Miami Heat,United Center,True
3-11-2014,8:00 PM,San-Antonio Spurs,United Center,True
3-13-2014,7:00 PM,Houston Rockets,United Center,True
3-15-2014,8:00 PM,Sacramento Kings,United Center,True
3-17-2014,8:00 PM,Oklahoma City Thunder,United Center,True
3-19-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
3-21-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-22-2014,8:00 PM,Philadelphia 76ers,United Center,True
3-24-2014,8:00 PM,Indiana Pacers,United Center,True
3-28-2014,8:00 PM,Portland Trail Blazers,United Center,True
3-30-2014,7:00 PM,Boston Celtics,TD Garden,False
3-31-2014,8:00 PM,Boston Celtics,United Center,True
4-2-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
4-4-2014,8:00 PM,Milwaukee Bucks,United Center,True
4-5-2014,7:00 PM,Washington Wizards,Verizon Center,False
4-9-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
4-11-2014,8:00 PM,Detroit Pistons,United Center,True
4-13-2014,1:00 PM,New York Knicks,Madison Square Garden,False
4-14-2014,8:00 PM,Orlando Magic,United Center,True
4-16-2014,8:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
