DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:00 PM,Brooklyn Nets,Quicken Loans Arena,True
11-1-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-2-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-4-2013,7:00 PM,Minnesota Timberwolves,Quicken Loans Arena,True
11-6-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-8-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-9-2013,7:30 PM,Philadelphia 76ers,Quicken Loans Arena,True
11-11-2013,8:00 PM,Chicago Bulls,United Center,False
11-13-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-15-2013,7:30 PM,Charlotte Bobcats,Quicken Loans Arena,True
11-16-2013,7:00 PM,Washington Wizards,Verizon Center,False
11-20-2013,7:00 PM,Washington Wizards,Quicken Loans Arena,True
11-22-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-23-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
11-27-2013,7:30 PM,Miami Heat,Quicken Loans Arena,True
11-29-2013,7:30 PM,Boston Celtics,TD Garden,False
11-30-2013,7:30 PM,Chicago Bulls,Quicken Loans Arena,True
12-4-2013,7:00 PM,Denver Nuggets,Quicken Loans Arena,True
12-6-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-7-2013,7:30 PM,Los Angeles Clippers,Quicken Loans Arena,True
12-10-2013,7:00 PM,New York Knicks,Quicken Loans Arena,True
12-13-2013,7:00 PM,Orlando Magic,Amway Center,False
12-14-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
12-17-2013,7:00 PM,Portland Trail Blazers,Quicken Loans Arena,True
12-20-2013,7:30 PM,Milwaukee Bucks,Quicken Loans Arena,True
12-21-2013,8:00 PM,Chicago Bulls,United Center,False
12-23-2013,7:00 PM,Detroit Pistons,Quicken Loans Arena,True
12-26-2013,7:00 PM,Atlanta Hawks,Quicken Loans Arena,True
12-28-2013,1:00 PM,Boston Celtics,TD Garden,False
12-29-2013,6:00 PM,Golden State Warriors,Quicken Loans Arena,True
12-31-2013,3:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
1-2-2014,7:00 PM,Orlando Magic,Quicken Loans Arena,True
1-4-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-5-2014,6:00 PM,Indiana Pacers,Quicken Loans Arena,True
1-7-2014,7:00 PM,Philadelphia 76ers,Quicken Loans Arena,True
1-10-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-12-2014,6:00 PM,Sacramento Kings,Sleep Train Arena,False
1-14-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
