DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:30 PM,Atlanta Hawks,American Airlines Center,True
11-1-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-2-2013,8:30 PM,Memphis Grizzlies,American Airlines Center,True
11-5-2013,8:30 PM,Los Angeles Lakers,American Airlines Center,True
11-6-2013,9:30 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-8-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-9-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-12-2013,8:30 PM,Washington Wizards,American Airlines Center,True
11-15-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
11-16-2013,7:00 PM,Orlando Magic,Amway Center,False
11-18-2013,8:30 PM,Philadelphia 76ers,American Airlines Center,True
11-20-2013,9:30 PM,Houston Rockets,American Airlines Center,True
11-22-2013,8:30 PM,Utah Jazz,American Airlines Center,True
11-23-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
11-25-2013,8:30 PM,Denver Nuggets,American Airlines Center,True
11-27-2013,8:30 PM,Golden State Warriors,American Airlines Center,True
11-29-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-30-2013,8:30 PM,Minnesota Timberwolves,American Airlines Center,True
12-3-2013,8:30 PM,Charlotte Bobcats,American Airlines Center,True
12-4-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
12-7-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
12-9-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
12-11-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
12-14-2013,8:30 PM,Milwaukee Bucks,American Airlines Center,True
12-18-2013,8:30 PM,Memphis Grizzlies,American Airlines Center,True
12-20-2013,8:30 PM,Toronto Raptors,American Airlines Center,True
12-21-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-23-2013,8:00 PM,Houston Rockets,Toyota Center,False
12-26-2013,8:30 PM,San-Antonio Spurs,American Airlines Center,True
12-28-2013,8:00 PM,Chicago Bulls,United Center,False
12-30-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
1-1-2014,6:00 PM,Washington Wizards,Verizon Center,False
1-3-2014,8:30 PM,Los Angeles Clippers,American Airlines Center,True
1-5-2014,7:30 PM,New York Knicks,American Airlines Center,True
1-7-2014,8:30 PM,Los Angeles Lakers,American Airlines Center,True
1-8-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
1-10-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-11-2014,8:30 PM,New Orleans Pelicans,American Airlines Center,True
1-13-2014,8:30 PM,Orlando Magic,American Airlines Center,True
1-15-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
1-17-2014,9:00 PM,Phoenix Suns,US Airways Center,False
1-18-2014,8:30 PM,Portland Trail Blazers,American Airlines Center,True
1-20-2014,1:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-22-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-24-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-26-2014,7:30 PM,Detroit Pistons,American Airlines Center,True
1-29-2014,8:30 PM,Houston Rockets,American Airlines Center,True
1-31-2014,8:30 PM,Sacramento Kings,American Airlines Center,True
2-3-2014,8:30 PM,Cleveland Cavaliers,American Airlines Center,True
2-5-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
2-7-2014,8:30 PM,Utah Jazz,American Airlines Center,True
2-9-2014,6:00 PM,Boston Celtics,TD Garden,False
2-11-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
2-12-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
2-18-2014,8:30 PM,Miami Heat,American Airlines Center,True
2-21-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
2-22-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-24-2014,7:30 PM,New York Knicks,Madison Square Garden,False
2-26-2014,8:00 PM,New Orleans Pelicans,American Airlines Center,True
2-28-2014,8:30 PM,Chicago Bulls,American Airlines Center,True
3-2-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
3-5-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
3-7-2014,8:30 PM,Portland Trail Blazers,American Airlines Center,True
3-9-2014,7:30 PM,Indiana Pacers,American Airlines Center,True
3-11-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-12-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
3-16-2014,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-17-2014,8:30 PM,Boston Celtics,American Airlines Center,True
3-19-2014,8:30 PM,Minnesota Timberwolves,American Airlines Center,True
3-21-2014,8:30 PM,Denver Nuggets,American Airlines Center,True
3-23-2014,7:30 PM,Brooklyn Nets,American Airlines Center,True
3-25-2014,8:00 PM,Oklahoma City Thunder,American Airlines Center,True
3-27-2014,8:30 PM,Los Angeles Clippers,American Airlines Center,True
3-29-2014,8:30 PM,Sacramento Kings,American Airlines Center,True
4-1-2014,8:30 PM,Golden State Warriors,American Airlines Center,True
4-3-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
4-4-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
4-6-2014,6:00 PM,Sacramento Kings,Sleep Train Arena,False
4-8-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
4-10-2014,8:00 PM,San-Antonio Spurs,American Airlines Center,True
4-12-2014,8:30 PM,Phoenix Suns,American Airlines Center,True
4-16-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
