DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:30 PM,Washington Wizards,The Palace of Auburn Hills,True
11-1-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-3-2013,6:00 PM,Boston Celtics,The Palace of Auburn Hills,True
11-5-2013,7:30 PM,Indiana Pacers,The Palace of Auburn Hills,True
11-8-2013,7:30 PM,Oklahoma City Thunder,The Palace of Auburn Hills,True
11-11-2013,10:00 PM,Portland Trail Blazers,Moda Center,False
11-12-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-15-2013,10:30 PM,Sacramento Kings,Sleep Train Arena,False
11-17-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
11-19-2013,7:30 PM,New York Knicks,The Palace of Auburn Hills,True
11-20-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-22-2013,7:30 PM,Atlanta Hawks,The Palace of Auburn Hills,True
11-24-2013,2:00 PM,Brooklyn Nets,Barclays Center,False
11-25-2013,7:30 PM,Milwaukee Bucks,The Palace of Auburn Hills,True
11-27-2013,7:30 PM,Chicago Bulls,The Palace of Auburn Hills,True
11-29-2013,7:30 PM,Los Angeles Lakers,The Palace of Auburn Hills,True
12-1-2013,3:30 PM,Philadelphia 76ers,The Palace of Auburn Hills,True
12-3-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
12-4-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-7-2013,8:00 PM,Chicago Bulls,United Center,False
12-8-2013,6:00 PM,Miami Heat,The Palace of Auburn Hills,True
12-10-2013,7:30 PM,Minnesota Timberwolves,The Palace of Auburn Hills,True
12-11-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
12-13-2013,7:30 PM,Brooklyn Nets,The Palace of Auburn Hills,True
12-15-2013,6:00 PM,Portland Trail Blazers,The Palace of Auburn Hills,True
12-16-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-18-2013,7:30 PM,Boston Celtics,TD Garden,False
12-20-2013,7:30 PM,Charlotte Bobcats,The Palace of Auburn Hills,True
12-21-2013,7:30 PM,Houston Rockets,The Palace of Auburn Hills,True
12-23-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-27-2013,7:00 PM,Orlando Magic,Amway Center,False
12-28-2013,7:00 PM,Washington Wizards,Verizon Center,False
12-30-2013,7:30 PM,Washington Wizards,The Palace of Auburn Hills,True
1-5-2014,1:00 PM,Memphis Grizzlies,The Palace of Auburn Hills,True
1-7-2014,7:30 PM,New York Knicks,Madison Square Garden,False
1-8-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-10-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
1-11-2014,7:30 PM,Phoenix Suns,The Palace of Auburn Hills,True
1-17-2014,7:30 PM,Utah Jazz,The Palace of Auburn Hills,True
1-18-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-20-2014,1:00 PM,Los Angeles Clippers,The Palace of Auburn Hills,True
1-22-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-24-2014,7:30 PM,New Orleans Pelicans,The Palace of Auburn Hills,True
1-26-2014,7:30 PM,Dallas Mavericks,American Airlines Center,False
1-28-2014,7:30 PM,Orlando Magic,The Palace of Auburn Hills,True
1-29-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-1-2014,7:30 PM,Philadelphia 76ers,The Palace of Auburn Hills,True
2-3-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
2-5-2014,8:00 PM,Orlando Magic,Amway Center,False
2-7-2014,7:30 PM,Brooklyn Nets,The Palace of Auburn Hills,True
2-8-2014,7:30 PM,Denver Nuggets,The Palace of Auburn Hills,True
2-10-2014,7:30 PM,San-Antonio Spurs,The Palace of Auburn Hills,True
2-12-2014,7:30 PM,Cleveland Cavaliers,The Palace of Auburn Hills,True
2-18-2014,7:30 PM,Charlotte Bobcats,The Palace of Auburn Hills,True
2-19-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
2-21-2014,7:30 PM,Atlanta Hawks,The Palace of Auburn Hills,True
2-22-2014,7:30 PM,Dallas Mavericks,The Palace of Auburn Hills,True
2-24-2014,7:30 PM,Golden State Warriors,The Palace of Auburn Hills,True
2-26-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
3-1-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-3-2014,7:30 PM,New York Knicks,The Palace of Auburn Hills,True
3-5-2014,7:30 PM,Chicago Bulls,The Palace of Auburn Hills,True
3-7-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
3-9-2014,6:00 PM,Boston Celtics,TD Garden,False
3-11-2014,7:30 PM,Sacramento Kings,The Palace of Auburn Hills,True
3-12-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
3-15-2014,7:30 PM,Indiana Pacers,The Palace of Auburn Hills,True
3-19-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
3-21-2014,10:00 PM,Phoenix Suns,US Airways Center,False
3-22-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
3-24-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
3-26-2014,7:30 PM,Cleveland Cavaliers,The Palace of Auburn Hills,True
3-28-2014,7:30 PM,Miami Heat,The Palace of Auburn Hills,True
3-29-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
3-31-2014,7:30 PM,Milwaukee Bucks,The Palace of Auburn Hills,True
4-2-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
4-4-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
4-5-2014,7:30 PM,Boston Celtics,The Palace of Auburn Hills,True
4-9-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
4-11-2014,8:00 PM,Chicago Bulls,United Center,False
4-13-2014,3:30 PM,Toronto Raptors,The Palace of Auburn Hills,True
4-16-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
