DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,10:30 PM,Los Angeles Lakers,Oracle Arena,True
10-31-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-2-2013,10:30 PM,Sacramento Kings,Oracle Arena,True
11-4-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-6-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-8-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
11-9-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-12-2013,10:30 PM,Detroit Pistons,Oracle Arena,True
11-14-2013,10:30 PM,Oklahoma City Thunder,Oracle Arena,True
11-16-2013,10:30 PM,Utah Jazz,Oracle Arena,True
11-18-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
11-20-2013,10:30 PM,Memphis Grizzlies,Oracle Arena,True
11-22-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
11-23-2013,10:30 PM,Portland Trail Blazers,Oracle Arena,True
11-26-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-27-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-29-2013,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-1-2013,6:00 PM,Sacramento Kings,Sleep Train Arena,False
12-3-2013,10:30 PM,Toronto Raptors,Oracle Arena,True
12-6-2013,8:00 PM,Houston Rockets,Toyota Center,False
12-7-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-9-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-11-2013,10:30 PM,Dallas Mavericks,Oracle Arena,True
12-13-2013,10:30 PM,Houston Rockets,Oracle Arena,True
12-15-2013,8:00 PM,Phoenix Suns,US Airways Center,False
12-17-2013,10:30 PM,New Orleans Pelicans,Oracle Arena,True
12-19-2013,10:30 PM,San-Antonio Spurs,Oracle Arena,True
12-21-2013,10:30 PM,Los Angeles Lakers,Oracle Arena,True
12-23-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
12-25-2013,10:30 PM,Los Angeles Clippers,Oracle Arena,True
12-27-2013,10:30 PM,Phoenix Suns,Oracle Arena,True
12-29-2013,6:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-31-2013,5:00 PM,Orlando Magic,Amway Center,False
1-2-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
1-3-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
1-5-2014,6:00 PM,Washington Wizards,Verizon Center,False
1-7-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-8-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-10-2014,10:30 PM,Boston Celtics,Oracle Arena,True
1-15-2014,10:30 PM,Denver Nuggets,Oracle Arena,True
1-17-2014,9:30 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-18-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-20-2014,10:30 PM,Indiana Pacers,Oracle Arena,True
1-24-2014,10:30 PM,Minnesota Timberwolves,Oracle Arena,True
