DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:00 PM,Charlotte Bobcats,Toyota Center,True
11-1-2013,8:00 PM,Dallas Mavericks,Toyota Center,True
11-2-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
11-4-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-5-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
11-7-2013,9:30 PM,Los Angeles Lakers,Toyota Center,True
11-9-2013,8:00 PM,Los Angeles Clippers,Toyota Center,True
11-11-2013,8:00 PM,Toronto Raptors,Toyota Center,True
11-13-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-14-2013,8:00 PM,New York Knicks,Madison Square Garden,False
11-16-2013,8:00 PM,Denver Nuggets,Toyota Center,True
11-19-2013,8:00 PM,Boston Celtics,Toyota Center,True
11-20-2013,9:30 PM,Dallas Mavericks,American Airlines Center,False
11-23-2013,8:00 PM,Minnesota Timberwolves,Toyota Center,True
11-25-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-27-2013,8:00 PM,Atlanta Hawks,Toyota Center,True
11-29-2013,8:00 PM,Brooklyn Nets,Toyota Center,True
11-30-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-2-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
12-4-2013,8:00 PM,Phoenix Suns,Toyota Center,True
12-6-2013,8:00 PM,Golden State Warriors,Toyota Center,True
12-8-2013,7:00 PM,Orlando Magic,Toyota Center,True
12-12-2013,10:30 PM,Portland Trail Blazers,Rose Garden,False
12-13-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
12-15-2013,6:00 PM,Sacramento Kings,Sleep Train Arena,False
12-18-2013,9:30 PM,Chicago Bulls,Toyota Center,True
12-20-2013,8:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-21-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-23-2013,8:00 PM,Dallas Mavericks,Toyota Center,True
12-25-2013,8:00 PM,San-Antonio Spurs,AT&T Center,False
12-26-2013,8:00 PM,Memphis Grizzlies,Toyota Center,True
12-28-2013,8:00 PM,New Orleans Pelicans,Toyota Center,True
12-29-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-31-2013,7:00 PM,Sacramento Kings,Toyota Center,True
1-3-2014,8:00 PM,New York Knicks,Toyota Center,True
1-8-2014,9:30 PM,Los Angeles Lakers,Toyota Center,True
1-10-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
1-11-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-13-2014,7:30 PM,Boston Celtics,TD Garden,False
1-15-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-16-2014,9:30 PM,Oklahoma City Thunder,Toyota Center,True
1-18-2014,8:00 PM,Milwaukee Bucks,Toyota Center,True
1-20-2014,8:00 PM,Portland Trail Blazers,Toyota Center,True
1-22-2014,8:00 PM,Sacramento Kings,Toyota Center,True
1-24-2014,8:00 PM,Memphis Grizzlies,Toyota Center,True
1-25-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
1-28-2014,8:00 PM,San-Antonio Spurs,Toyota Center,True
1-29-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
2-1-2014,8:00 PM,Cleveland Cavaliers,Toyota Center,True
2-5-2014,8:00 PM,Phoenix Suns,Toyota Center,True
2-8-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
2-10-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
2-12-2014,8:00 PM,Washington Wizards,Toyota Center,True
2-19-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
2-20-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-23-2014,8:00 PM,Phoenix Suns,US Airways Center,False
2-25-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
2-26-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
3-1-2014,8:00 PM,Detroit Pistons,Toyota Center,True
3-4-2014,8:00 PM,Miami Heat,Toyota Center,True
3-5-2014,7:00 PM,Orlando Magic,Amway Center,False
3-7-2014,9:30 PM,Indiana Pacers,Toyota Center,True
3-9-2014,7:00 PM,Portland Trail Blazers,Toyota Center,True
3-11-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-13-2014,7:00 PM,Chicago Bulls,United Center,False
3-16-2014,3:30 PM,Miami Heat,AmericanAirlines Arena,False
3-17-2014,8:00 PM,Utah Jazz,Toyota Center,True
3-20-2014,8:00 PM,Minnesota Timberwolves,Toyota Center,True
3-22-2014,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-24-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-27-2014,8:00 PM,Philadelphia 76ers,Toyota Center,True
3-29-2014,8:00 PM,Los Angeles Clippers,Toyota Center,True
4-1-2014,8:00 PM,Brooklyn Nets,Barclays Center,False
4-2-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
4-4-2014,9:30 PM,Oklahoma City Thunder,Toyota Center,True
4-6-2014,7:00 PM,Denver Nuggets,Toyota Center,True
4-8-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
4-9-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
4-11-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
4-12-2014,8:00 PM,New Orleans Pelicans,Toyota Center,True
4-14-2014,8:00 PM,San-Antonio Spurs,Toyota Center,True
4-16-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
