DATE,TIME(EST),OPPONENT,ARENA,HOME
10-29-2013,7:00 PM,Orlando Magic,Bankers Life Fieldhouse,True
10-30-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-2-2013,7:00 PM,Cleveland Cavaliers,Bankers Life Fieldhouse,True
11-5-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-6-2013,7:00 PM,Chicago Bulls,Bankers Life Fieldhouse,True
11-8-2013,7:00 PM,Toronto Raptors,Bankers Life Fieldhouse,True
11-9-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
11-11-2013,7:00 PM,Memphis Grizzlies,Bankers Life Fieldhouse,True
11-15-2013,7:00 PM,Milwaukee Bucks,Bankers Life Fieldhouse,True
11-16-2013,8:00 PM,Chicago Bulls,United Center,False
11-20-2013,7:00 PM,New York Knicks,Madison Square Garden,False
11-22-2013,7:30 PM,Boston Celtics,TD Garden,False
11-23-2013,7:00 PM,Philadelphia 76ers,Bankers Life Fieldhouse,True
11-25-2013,7:00 PM,Minnesota Timberwolves,Bankers Life Fieldhouse,True
11-27-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-29-2013,8:00 PM,Washington Wizards,Bankers Life Fieldhouse,True
12-1-2013,3:30 PM,Los Angeles Clippers,Staples Center,False
12-2-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
12-4-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
12-7-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-8-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-10-2013,7:00 PM,Miami Heat,Bankers Life Fieldhouse,True
12-13-2013,7:00 PM,Charlotte Bobcats,Bankers Life Fieldhouse,True
12-16-2013,7:00 PM,Detroit Pistons,Bankers Life Fieldhouse,True
12-18-2013,7:00 PM,Miami Heat,AmericanAirlines Arena,False
12-20-2013,8:00 PM,Houston Rockets,Bankers Life Fieldhouse,True
12-22-2013,6:00 PM,Boston Celtics,Bankers Life Fieldhouse,True
12-23-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
12-28-2013,7:00 PM,Brooklyn Nets,Bankers Life Fieldhouse,True
12-31-2013,3:00 PM,Cleveland Cavaliers,Bankers Life Fieldhouse,True
1-1-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-4-2014,7:00 PM,New Orleans Pelicans,Bankers Life Fieldhouse,True
1-5-2014,6:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-7-2014,7:00 PM,Toronto Raptors,Bankers Life Fieldhouse,True
1-8-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
1-10-2014,7:00 PM,Washington Wizards,Bankers Life Fieldhouse,True
1-14-2014,7:00 PM,Sacramento Kings,Bankers Life Fieldhouse,True
1-16-2014,7:00 PM,New York Knicks,Bankers Life Fieldhouse,True
1-18-2014,7:00 PM,Los Angeles Clippers,Bankers Life Fieldhouse,True
1-20-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
1-22-2014,9:00 PM,Phoenix Suns,US Airways Center,False
1-24-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-25-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-28-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
1-30-2014,7:00 PM,Phoenix Suns,Bankers Life Fieldhouse,True
2-1-2014,7:00 PM,Brooklyn Nets,Bankers Life Fieldhouse,True
2-3-2014,7:00 PM,Orlando Magic,Bankers Life Fieldhouse,True
2-4-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-7-2014,7:00 PM,Portland Trail Blazers,Bankers Life Fieldhouse,True
2-9-2014,6:00 PM,Orlando Magic,Amway Center,False
2-10-2014,7:00 PM,Denver Nuggets,Bankers Life Fieldhouse,True
2-12-2014,7:00 PM,Dallas Mavericks,Bankers Life Fieldhouse,True
2-18-2014,7:00 PM,Atlanta Hawks,Bankers Life Fieldhouse,True
2-19-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
2-22-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
2-25-2014,7:00 PM,Los Angeles Lakers,Bankers Life Fieldhouse,True
2-27-2014,7:00 PM,Milwaukee Bucks,Bankers Life Fieldhouse,True
3-1-2014,8:00 PM,Boston Celtics,TD Garden,False
3-2-2014,6:00 PM,Utah Jazz,Bankers Life Fieldhouse,True
3-4-2014,7:00 PM,Golden State Warriors,Bankers Life Fieldhouse,True
3-5-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-7-2014,9:30 PM,Houston Rockets,Toyota Center,False
3-9-2014,7:30 PM,Dallas Mavericks,American Airlines Center,False
3-11-2014,7:00 PM,Boston Celtics,Bankers Life Fieldhouse,True
3-14-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
3-15-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
3-17-2014,7:00 PM,Philadelphia 76ers,Bankers Life Fieldhouse,True
3-19-2014,8:00 PM,New York Knicks,Madison Square Garden,False
3-21-2014,7:00 PM,Chicago Bulls,Bankers Life Fieldhouse,True
3-22-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
3-24-2014,8:00 PM,Chicago Bulls,United Center,False
3-26-2014,8:00 PM,Miami Heat,Bankers Life Fieldhouse,True
3-28-2014,7:00 PM,Washington Wizards,Verizon Center,False
3-30-2014,3:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-31-2014,7:00 PM,San-Antonio Spurs,Bankers Life Fieldhouse,True
4-2-2014,7:00 PM,Detroit Pistons,Bankers Life Fieldhouse,True
4-4-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
4-6-2014,6:00 PM,Atlanta Hawks,Bankers Life Fieldhouse,True
4-9-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
4-11-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
4-13-2014,6:00 PM,Oklahoma City Thunder,Bankers Life Fieldhouse,True
4-16-2014,8:00 PM,Orlando Magic,Amway Center,False
