DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
11-1-2013,8:00 PM,Detroit Pistons,FedExForum,True
11-2-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-4-2013,8:00 PM,Boston Celtics,FedExForum,True
11-6-2013,8:00 PM,New Orleans Pelicans,FedExForum,True
11-9-2013,8:00 PM,Golden State Warriors,FedExForum,True
11-11-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-13-2013,8:00 PM,Toronto Raptors,FedExForum,True
11-15-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
11-17-2013,6:00 PM,Sacramento Kings,Sleep Train Arena,False
11-18-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-20-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-22-2013,8:00 PM,San-Antonio Spurs,FedExForum,True
11-25-2013,8:00 PM,Houston Rockets,FedExForum,True
11-27-2013,7:30 PM,Boston Celtics,TD Garden,False
11-30-2013,8:00 PM,Brooklyn Nets,FedExForum,True
12-3-2013,8:00 PM,Phoenix Suns,FedExForum,True
12-5-2013,8:00 PM,Los Angeles Clippers,FedExForum,True
12-7-2013,8:00 PM,Golden State Warriors,FedExForum,True
12-9-2013,8:00 PM,Orlando Magic,FedExForum,True
12-11-2013,8:00 PM,Oklahoma City Thunder,FedExForum,True
12-13-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
12-15-2013,6:00 PM,Minnesota Timberwolves,FedExForum,True
12-17-2013,8:00 PM,Los Angeles Lakers,FedExForum,True
12-18-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-21-2013,12:00 PM,New York Knicks,Madison Square Garden,False
12-23-2013,8:00 PM,Utah Jazz,FedExForum,True
12-26-2013,8:00 PM,Houston Rockets,Toyota Center,False
12-28-2013,8:00 PM,Denver Nuggets,FedExForum,True
12-30-2013,8:00 PM,Chicago Bulls,FedExForum,True
1-2-2014,9:00 PM,Phoenix Suns,US Airways Center,False
1-3-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-5-2014,1:00 PM,Detroit Pistons,The Palace of Auburn Hills,False
1-7-2014,8:00 PM,San-Antonio Spurs,FedExForum,True
1-10-2014,8:00 PM,Phoenix Suns,FedExForum,True
1-12-2014,6:00 PM,Atlanta Hawks,FedExForum,True
1-14-2014,8:00 PM,Oklahoma City Thunder,FedExForum,True
1-15-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-17-2014,8:00 PM,Sacramento Kings,FedExForum,True
1-20-2014,5:00 PM,New Orleans Pelicans,FedExForum,True
1-24-2014,8:00 PM,Houston Rockets,Toyota Center,False
1-25-2014,8:00 PM,Houston Rockets,FedExForum,True
1-28-2014,10:00 PM,Portland Trail Blazers,Moda Center,False
1-29-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-31-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
2-1-2014,8:00 PM,Milwaukee Bucks,FedExForum,True
2-3-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-5-2014,8:00 PM,Dallas Mavericks,FedExForum,True
2-8-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-9-2014,6:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
2-11-2014,8:00 PM,Washington Wizards,FedExForum,True
2-12-2014,7:00 PM,Orlando Magic,Amway Center,False
2-18-2014,8:00 PM,New York Knicks,FedExForum,True
2-21-2014,8:00 PM,Los Angeles Clippers,FedExForum,True
2-22-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
2-26-2014,8:00 PM,Los Angeles Lakers,FedExForum,True
2-28-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-1-2014,9:00 PM,Cleveland Cavaliers,FedExForum,True
3-3-2014,7:00 PM,Washington Wizards,Verizon Center,False
3-5-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
3-7-2014,7:00 PM,Chicago Bulls,United Center,False
3-8-2014,8:00 PM,Charlotte Bobcats,FedExForum,True
3-11-2014,8:00 PM,Portland Trail Blazers,FedExForum,True
3-12-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-14-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
3-15-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
3-19-2014,8:00 PM,Utah Jazz,FedExForum,True
3-21-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
3-22-2014,8:00 PM,Indiana Pacers,FedExForum,True
3-24-2014,8:00 PM,Minnesota Timberwolves,FedExForum,True
3-26-2014,10:30 PM,Utah Jazz,EnergySolutions Arena,False
3-28-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-30-2014,9:00 PM,Portland Trail Blazers,Moda Center,False
3-31-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
4-2-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
4-4-2014,7:00 PM,Denver Nuggets,FedExForum,True
4-6-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
4-9-2014,8:00 PM,Miami Heat,FedExForum,True
4-11-2014,8:00 PM,Philadelphia 76ers,FedExForum,True
4-13-2014,9:30 PM,Los Angeles Lakers,Staples Center,False
4-14-2014,10:00 PM,Phoenix Suns,US Airways Center,False
4-16-2014,8:00 PM,Dallas Mavericks,FedExForum,True
