DATE,TIME(EST),OPPONENT,ARENA,HOME
10-29-2013,8:00 PM,Chicago Bulls,AmericanAirlines Arena,True
10-30-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-1-2013,8:00 PM,Brooklyn Nets,Barclays Center,False
11-3-2013,6:00 PM,Washington Wizards,AmericanAirlines Arena,True
11-5-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-7-2013,7:00 PM,Los Angeles Clippers,AmericanAirlines Arena,True
11-9-2013,7:30 PM,Boston Celtics,AmericanAirlines Arena,True
11-12-2013,7:30 PM,Milwaukee Bucks,AmericanAirlines Arena,True
11-15-2013,7:30 PM,Dallas Mavericks,AmericanAirlines Arena,True
11-16-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-19-2013,7:30 PM,Atlanta Hawks,AmericanAirlines Arena,True
11-20-2013,7:00 PM,Orlando Magic,Amway Center,False
11-23-2013,7:30 PM,Orlando Magic,AmericanAirlines Arena,True
11-25-2013,7:30 PM,Phoenix Suns,AmericanAirlines Arena,True
11-27-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-29-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
12-1-2013,6:00 PM,Charlotte Bobcats,AmericanAirlines Arena,True
12-3-2013,7:30 PM,Detroit Pistons,AmericanAirlines Arena,True
12-5-2013,9:30 PM,Chicago Bulls,United Center,False
12-7-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
12-8-2013,6:00 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-10-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
12-14-2013,7:30 PM,Cleveland Cavaliers,AmericanAirlines Arena,True
12-16-2013,7:30 PM,Utah Jazz,AmericanAirlines Arena,True
12-18-2013,7:00 PM,Indiana Pacers,AmericanAirlines Arena,True
12-20-2013,7:30 PM,Sacramento Kings,AmericanAirlines Arena,True
12-23-2013,7:30 PM,Atlanta Hawks,AmericanAirlines Arena,True
12-25-2013,5:00 PM,Los Angeles Lakers,Staples Center,False
12-27-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
12-28-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
12-30-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
1-2-2014,7:30 PM,Golden State Warriors,AmericanAirlines Arena,True
1-4-2014,7:00 PM,Orlando Magic,Amway Center,False
1-5-2014,6:00 PM,Toronto Raptors,AmericanAirlines Arena,True
1-7-2014,7:30 PM,New Orleans Pelicans,AmericanAirlines Arena,True
1-9-2014,8:00 PM,New York Knicks,Madison Square Garden,False
1-10-2014,8:00 PM,Brooklyn Nets,Barclays Center,False
1-15-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-17-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
1-18-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-20-2014,5:30 PM,Atlanta Hawks,Philips Arena,False
1-21-2014,7:30 PM,Boston Celtics,AmericanAirlines Arena,True
1-23-2014,8:00 PM,Los Angeles Lakers,AmericanAirlines Arena,True
1-26-2014,1:00 PM,San-Antonio Spurs,AmericanAirlines Arena,True
1-29-2014,7:00 PM,Oklahoma City Thunder,AmericanAirlines Arena,True
2-1-2014,8:30 PM,New York Knicks,Madison Square Garden,False
2-3-2014,7:30 PM,Detroit Pistons,AmericanAirlines Arena,True
2-5-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-8-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-11-2014,9:00 PM,Phoenix Suns,US Airways Center,False
2-12-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-18-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
2-20-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-23-2014,3:30 PM,Chicago Bulls,AmericanAirlines Arena,True
2-27-2014,8:00 PM,New York Knicks,AmericanAirlines Arena,True
3-1-2014,7:30 PM,Orlando Magic,AmericanAirlines Arena,True
3-3-2014,7:30 PM,Charlotte Bobcats,AmericanAirlines Arena,True
3-4-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-6-2014,8:00 PM,San-Antonio Spurs,AT&T Center,False
3-9-2014,1:00 PM,Chicago Bulls,United Center,False
3-10-2014,7:30 PM,Washington Wizards,AmericanAirlines Arena,True
3-12-2014,7:00 PM,Brooklyn Nets,AmericanAirlines Arena,True
3-14-2014,7:30 PM,Denver Nuggets,AmericanAirlines Arena,True
3-16-2014,3:30 PM,Houston Rockets,AmericanAirlines Arena,True
3-18-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-19-2014,7:30 PM,Boston Celtics,TD Garden,False
3-21-2014,7:30 PM,Memphis Grizzlies,AmericanAirlines Arena,True
3-22-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-24-2014,7:30 PM,Portland Trail Blazers,AmericanAirlines Arena,True
3-26-2014,8:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-28-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
3-29-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
3-31-2014,7:30 PM,Toronto Raptors,AmericanAirlines Arena,True
4-2-2014,7:30 PM,Milwaukee Bucks,AmericanAirlines Arena,True
4-4-2014,7:30 PM,Minnesota Timberwolves,AmericanAirlines Arena,True
4-6-2014,1:00 PM,New York Knicks,AmericanAirlines Arena,True
4-8-2014,8:00 PM,Brooklyn Nets,AmericanAirlines Arena,True
4-9-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
4-11-2014,7:30 PM,Indiana Pacers,AmericanAirlines Arena,True
4-12-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
4-14-2014,7:00 PM,Washington Wizards,Verizon Center,False
4-16-2014,8:00 PM,Philadelphia 76ers,AmericanAirlines Arena,True
