DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:30 PM,New York Knicks,Madison Square Garden,False
11-1-2013,7:30 PM,Boston Celtics,TD Garden,False
11-2-2013,8:30 PM,Toronto Raptors,BMO Harris Bradley Center,True
11-6-2013,8:00 PM,Cleveland Cavaliers,BMO Harris Bradley Center,True
11-9-2013,8:30 PM,Dallas Mavericks,BMO Harris Bradley Center,True
11-12-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
11-13-2013,7:00 PM,Orlando Magic,Amway Center,False
11-15-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-16-2013,8:30 PM,Oklahoma City Thunder,BMO Harris Bradley Center,True
11-20-2013,8:00 PM,Portland Trail Blazers,BMO Harris Bradley Center,True
11-22-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-23-2013,8:30 PM,Charlotte Bobcats,BMO Harris Bradley Center,True
11-25-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-27-2013,8:00 PM,Washington Wizards,BMO Harris Bradley Center,True
11-29-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-30-2013,9:00 PM,Boston Celtics,BMO Harris Bradley Center,True
12-3-2013,7:30 PM,Boston Celtics,TD Garden,False
12-4-2013,8:00 PM,Detroit Pistons,BMO Harris Bradley Center,True
12-6-2013,7:00 PM,Washington Wizards,Verizon Center,False
12-7-2013,8:30 PM,Brooklyn Nets,BMO Harris Bradley Center,True
12-10-2013,8:00 PM,Chicago Bulls,United Center,False
12-11-2013,8:00 PM,San-Antonio Spurs,BMO Harris Bradley Center,True
12-13-2013,8:30 PM,Chicago Bulls,BMO Harris Bradley Center,True
12-14-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-18-2013,8:00 PM,New York Knicks,BMO Harris Bradley Center,True
12-20-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-21-2013,8:30 PM,Philadelphia 76ers,BMO Harris Bradley Center,True
12-23-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-27-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
12-28-2013,8:30 PM,Minnesota Timberwolves,BMO Harris Bradley Center,True
12-31-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
1-2-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-4-2014,9:00 PM,Phoenix Suns,US Airways Center,False
1-7-2014,8:00 PM,Golden State Warriors,BMO Harris Bradley Center,True
1-10-2014,8:30 PM,Chicago Bulls,BMO Harris Bradley Center,True
1-11-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-13-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-15-2014,8:00 PM,Memphis Grizzlies,BMO Harris Bradley Center,True
1-18-2014,8:00 PM,Houston Rockets,Toyota Center,False
1-19-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
1-22-2014,8:00 PM,Detroit Pistons,BMO Harris Bradley Center,True
1-24-2014,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-25-2014,8:30 PM,Atlanta Hawks,BMO Harris Bradley Center,True
1-27-2014,8:00 PM,Los Angeles Clippers,BMO Harris Bradley Center,True
1-29-2014,8:00 PM,Phoenix Suns,BMO Harris Bradley Center,True
1-31-2014,7:00 PM,Orlando Magic,Amway Center,False
2-1-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
2-3-2014,8:00 PM,New York Knicks,BMO Harris Bradley Center,True
2-5-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
2-8-2014,8:30 PM,Houston Rockets,BMO Harris Bradley Center,True
2-10-2014,8:00 PM,Boston Celtics,BMO Harris Bradley Center,True
2-12-2014,8:00 PM,New Orleans Pelicans,BMO Harris Bradley Center,True
2-18-2014,8:00 PM,Orlando Magic,BMO Harris Bradley Center,True
2-20-2014,8:00 PM,Denver Nuggets,BMO Harris Bradley Center,True
2-22-2014,8:30 PM,Indiana Pacers,BMO Harris Bradley Center,True
2-24-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
2-27-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-1-2014,8:30 PM,Brooklyn Nets,BMO Harris Bradley Center,True
3-3-2014,8:00 PM,Utah Jazz,BMO Harris Bradley Center,True
3-5-2014,8:00 PM,Sacramento Kings,BMO Harris Bradley Center,True
3-7-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-8-2014,8:30 PM,Washington Wizards,BMO Harris Bradley Center,True
3-10-2014,8:00 PM,Orlando Magic,BMO Harris Bradley Center,True
3-11-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
3-13-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
3-15-2014,12:00 PM,New York Knicks,Madison Square Garden,False
3-16-2014,1:00 PM,Charlotte Bobcats,BMO Harris Bradley Center,True
3-18-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
3-20-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-23-2014,6:00 PM,Sacramento Kings,Sleep Train Arena,False
3-24-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
3-27-2014,8:00 PM,Los Angeles Lakers,BMO Harris Bradley Center,True
3-29-2014,8:30 PM,Miami Heat,BMO Harris Bradley Center,True
3-31-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
4-2-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
4-4-2014,8:00 PM,Chicago Bulls,United Center,False
4-5-2014,8:30 PM,Toronto Raptors,BMO Harris Bradley Center,True
4-9-2014,8:00 PM,Indiana Pacers,BMO Harris Bradley Center,True
4-11-2014,8:30 PM,Cleveland Cavaliers,BMO Harris Bradley Center,True
4-12-2014,7:00 PM,Washington Wizards,Verizon Center,False
4-14-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
4-16-2014,8:00 PM,Atlanta Hawks,BMO Harris Bradley Center,True
