DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:00 PM,Orlando Magic,Target Center,True
11-1-2013,8:00 PM,Oklahoma City Thunder,Target Center,True
11-3-2013,7:30 PM,New York Knicks,Madison Square Garden,False
11-4-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-6-2013,8:00 PM,Golden State Warriors,Target Center,True
11-8-2013,8:00 PM,Dallas Mavericks,Target Center,True
11-10-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
11-11-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-13-2013,8:00 PM,Cleveland Cavaliers,Target Center,True
11-15-2013,8:00 PM,Denver Nuggets,Pepsi Center,False
11-16-2013,8:00 PM,Boston Celtics,Target Center,True
11-19-2013,7:00 PM,Washington Wizards,Verizon Center,False
11-20-2013,8:00 PM,Los Angeles Clippers,Target Center,True
11-22-2013,8:00 PM,Brooklyn Nets,Target Center,True
11-23-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-25-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-27-2013,8:00 PM,Denver Nuggets,Target Center,True
11-30-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-1-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-4-2013,9:30 PM,San-Antonio Spurs,Target Center,True
12-7-2013,8:00 PM,Miami Heat,Target Center,True
12-10-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-11-2013,8:00 PM,Philadelphia 76ers,Target Center,True
12-13-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-15-2013,6:00 PM,Memphis Grizzlies,FedExForum,False
12-16-2013,7:30 PM,Boston Celtics,TD Garden,False
12-18-2013,8:00 PM,Portland Trail Blazers,Target Center,True
12-20-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
12-22-2013,9:30 PM,Los Angeles Clippers,Staples Center,False
12-27-2013,8:00 PM,Washington Wizards,Target Center,True
12-28-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-30-2013,8:00 PM,Dallas Mavericks,Target Center,True
1-1-2014,8:00 PM,New Orleans Pelicans,Target Center,True
1-4-2014,8:00 PM,Oklahoma City Thunder,Target Center,True
1-6-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
1-8-2014,8:00 PM,Phoenix Suns,Target Center,True
1-10-2014,8:00 PM,Charlotte Bobcats,Target Center,True
1-12-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
1-15-2014,8:00 PM,Sacramento Kings,Target Center,True
1-17-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-18-2014,8:00 PM,Utah Jazz,Target Center,True
1-21-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-24-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
1-25-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
1-27-2014,8:00 PM,Chicago Bulls,United Center,False
1-29-2014,8:00 PM,New Orleans Pelicans,Target Center,True
1-31-2014,8:00 PM,Memphis Grizzlies,Target Center,True
2-1-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-4-2014,8:00 PM,Los Angeles Lakers,Target Center,True
2-5-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-7-2014,9:30 PM,New Orleans Pelicans,New Orleans Arena,False
2-8-2014,8:00 PM,Portland Trail Blazers,Target Center,True
2-10-2014,8:00 PM,Houston Rockets,Target Center,True
2-12-2014,8:00 PM,Denver Nuggets,Target Center,True
2-19-2014,8:00 PM,Indiana Pacers,Target Center,True
2-22-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-23-2014,9:00 PM,Portland Trail Blazers,Rose Garden,False
2-25-2014,9:00 PM,Phoenix Suns,US Airways Center,False
3-1-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
3-3-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
3-5-2014,8:00 PM,New York Knicks,Target Center,True
3-7-2014,8:00 PM,Detroit Pistons,Target Center,True
3-9-2014,7:00 PM,Toronto Raptors,Target Center,True
3-11-2014,8:00 PM,Milwaukee Bucks,Target Center,True
3-14-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-16-2014,7:00 PM,Sacramento Kings,Target Center,True
3-19-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
3-20-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-23-2014,3:30 PM,Phoenix Suns,Target Center,True
3-24-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
3-26-2014,8:00 PM,Atlanta Hawks,Target Center,True
3-28-2014,8:00 PM,Los Angeles Lakers,Target Center,True
3-30-2014,6:00 PM,Brooklyn Nets,Barclays Center,False
3-31-2014,8:00 PM,Los Angeles Clippers,Target Center,True
4-2-2014,8:00 PM,Memphis Grizzlies,Target Center,True
4-4-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
4-5-2014,7:00 PM,Orlando Magic,Amway Center,False
4-9-2014,8:00 PM,Chicago Bulls,Target Center,True
4-11-2014,8:00 PM,Houston Rockets,Target Center,True
4-13-2014,9:00 PM,Sacramento Kings,Sleep Train Arena,False
4-14-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
4-16-2014,8:00 PM,Utah Jazz,Target Center,True
