DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:30 PM,Milwaukee Bucks,Madison Square Garden,True
10-31-2013,8:00 PM,Chicago Bulls,United Center,False
11-3-2013,7:30 PM,Minnesota Timberwolves,Madison Square Garden,True
11-5-2013,7:30 PM,Charlotte Bobcats,Madison Square Garden,True
11-8-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-10-2013,12:00 PM,San-Antonio Spurs,Madison Square Garden,True
11-13-2013,8:00 PM,Atlanta Hawks,Philips Arena,False
11-14-2013,8:00 PM,Houston Rockets,Madison Square Garden,True
11-16-2013,7:30 PM,Atlanta Hawks,Madison Square Garden,True
11-19-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-20-2013,7:00 PM,Indiana Pacers,Madison Square Garden,True
11-23-2013,7:00 PM,Washington Wizards,Verizon Center,False
11-25-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
11-27-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-29-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
12-1-2013,7:30 PM,New Orleans Pelicans,Madison Square Garden,True
12-5-2013,7:00 PM,Brooklyn Nets,Barclays Center,False
12-6-2013,7:30 PM,Orlando Magic,Madison Square Garden,True
12-8-2013,12:00 PM,Boston Celtics,Madison Square Garden,True
12-10-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-11-2013,8:00 PM,Chicago Bulls,Madison Square Garden,True
12-13-2013,7:30 PM,Boston Celtics,TD Garden,False
12-14-2013,7:30 PM,Atlanta Hawks,Madison Square Garden,True
12-16-2013,7:30 PM,Washington Wizards,Madison Square Garden,True
12-18-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-21-2013,12:00 PM,Memphis Grizzlies,Madison Square Garden,True
12-23-2013,7:00 PM,Orlando Magic,Amway Center,False
12-25-2013,2:30 PM,Oklahoma City Thunder,Madison Square Garden,True
12-27-2013,7:30 PM,Toronto Raptors,Madison Square Garden,True
12-28-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-2-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
1-3-2014,8:00 PM,Houston Rockets,Toyota Center,False
1-5-2014,7:30 PM,Dallas Mavericks,American Airlines Center,False
1-7-2014,7:30 PM,Detroit Pistons,Madison Square Garden,True
1-9-2014,8:00 PM,Miami Heat,Madison Square Garden,True
1-11-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
1-13-2014,7:30 PM,Phoenix Suns,Madison Square Garden,True
1-14-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-16-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
1-17-2014,7:00 PM,Los Angeles Clippers,Madison Square Garden,True
1-20-2014,2:30 PM,Brooklyn Nets,Madison Square Garden,True
1-22-2014,7:30 PM,Philadelphia 76ers,Madison Square Garden,True
1-24-2014,7:30 PM,Charlotte Bobcats,Madison Square Garden,True
1-26-2014,3:30 PM,Los Angeles Lakers,Madison Square Garden,True
1-28-2014,7:30 PM,Boston Celtics,Madison Square Garden,True
1-30-2014,8:00 PM,Cleveland Cavaliers,Madison Square Garden,True
2-1-2014,8:30 PM,Miami Heat,Madison Square Garden,True
2-3-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
2-5-2014,7:30 PM,Portland Trail Blazers,Madison Square Garden,True
2-7-2014,7:30 PM,Denver Nuggets,Madison Square Garden,True
2-9-2014,1:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-12-2014,7:30 PM,Sacramento Kings,Madison Square Garden,True
2-18-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
2-19-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
2-21-2014,7:00 PM,Orlando Magic,Amway Center,False
2-22-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-24-2014,7:30 PM,Dallas Mavericks,Madison Square Garden,True
2-27-2014,8:00 PM,Miami Heat,AmericanAirlines Arena,False
2-28-2014,8:00 PM,Golden State Warriors,Madison Square Garden,True
3-2-2014,1:00 PM,Chicago Bulls,United Center,False
3-3-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
3-5-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
3-7-2014,7:30 PM,Utah Jazz,Madison Square Garden,True
3-8-2014,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-10-2014,7:30 PM,Philadelphia 76ers,Madison Square Garden,True
3-12-2014,7:30 PM,Boston Celtics,TD Garden,False
3-15-2014,12:00 PM,Milwaukee Bucks,Madison Square Garden,True
3-19-2014,8:00 PM,Indiana Pacers,Madison Square Garden,True
3-21-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
3-23-2014,7:30 PM,Cleveland Cavaliers,Madison Square Garden,True
3-25-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
3-26-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
3-28-2014,10:00 PM,Phoenix Suns,US Airways Center,False
3-30-2014,9:00 PM,Golden State Warriors,Oracle Arena,False
3-31-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
4-2-2014,7:00 PM,Brooklyn Nets,Madison Square Garden,True
4-4-2014,7:30 PM,Washington Wizards,Madison Square Garden,True
4-6-2014,1:00 PM,Miami Heat,AmericanAirlines Arena,False
4-11-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
4-13-2014,1:00 PM,Chicago Bulls,Madison Square Garden,True
4-15-2014,8:00 PM,Brooklyn Nets,Barclays Center,False
4-16-2014,8:00 PM,Toronto Raptors,Madison Square Garden,True
