DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
11-1-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-3-2013,7:00 PM,Phoenix Suns,Chesapeake Energy Arena,True
11-6-2013,9:30 PM,Dallas Mavericks,Chesapeake Energy Arena,True
11-8-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-10-2013,7:00 PM,Washington Wizards,Chesapeake Energy Arena,True
11-13-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
11-14-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-16-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-18-2013,8:00 PM,Denver Nuggets,Chesapeake Energy Arena,True
11-21-2013,8:00 PM,Los Angeles Clippers,Chesapeake Energy Arena,True
11-24-2013,7:00 PM,Utah Jazz,Chesapeake Energy Arena,True
11-27-2013,8:00 PM,San-Antonio Spurs,Chesapeake Energy Arena,True
11-29-2013,8:00 PM,Golden State Warriors,Chesapeake Energy Arena,True
12-1-2013,7:00 PM,Minnesota Timberwolves,Chesapeake Energy Arena,True
12-3-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
12-4-2013,10:00 PM,Portland Trail Blazers,Moda Center,False
12-6-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
12-8-2013,7:00 PM,Indiana Pacers,Chesapeake Energy Arena,True
12-10-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-11-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-13-2013,8:00 PM,Los Angeles Lakers,Chesapeake Energy Arena,True
12-15-2013,7:00 PM,Orlando Magic,Chesapeake Energy Arena,True
12-17-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
12-19-2013,8:00 PM,Chicago Bulls,Chesapeake Energy Arena,True
12-21-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-22-2013,7:00 PM,Toronto Raptors,Chesapeake Energy Arena,True
12-25-2013,2:30 PM,New York Knicks,Madison Square Garden,False
12-27-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-29-2013,7:00 PM,Houston Rockets,Chesapeake Energy Arena,True
12-31-2013,8:00 PM,Portland Trail Blazers,Chesapeake Energy Arena,True
1-2-2014,8:00 PM,Brooklyn Nets,Chesapeake Energy Arena,True
1-4-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
1-5-2014,7:00 PM,Boston Celtics,Chesapeake Energy Arena,True
1-7-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-9-2014,10:30 PM,Denver Nuggets,Pepsi Center,False
1-11-2014,8:00 PM,Milwaukee Bucks,Chesapeake Energy Arena,True
1-14-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
1-16-2014,9:30 PM,Houston Rockets,Toyota Center,False
1-17-2014,9:30 PM,Golden State Warriors,Chesapeake Energy Arena,True
1-19-2014,7:00 PM,Sacramento Kings,Chesapeake Energy Arena,True
1-21-2014,8:00 PM,Portland Trail Blazers,Chesapeake Energy Arena,True
1-22-2014,9:30 PM,San-Antonio Spurs,AT&T Center,False
1-24-2014,7:30 PM,Boston Celtics,TD Garden,False
1-25-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
1-27-2014,8:00 PM,Atlanta Hawks,Chesapeake Energy Arena,True
1-29-2014,7:00 PM,Miami Heat,AmericanAirlines Arena,False
1-31-2014,8:00 PM,Brooklyn Nets,Barclays Center,False
2-1-2014,7:00 PM,Washington Wizards,Verizon Center,False
2-3-2014,8:00 PM,Memphis Grizzlies,Chesapeake Energy Arena,True
2-5-2014,8:00 PM,Minnesota Timberwolves,Chesapeake Energy Arena,True
2-7-2014,7:00 PM,Orlando Magic,Amway Center,False
2-9-2014,1:00 PM,New York Knicks,Chesapeake Energy Arena,True
2-11-2014,10:00 PM,Portland Trail Blazers,Moda Center,False
2-13-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
2-20-2014,8:00 PM,Miami Heat,Chesapeake Energy Arena,True
2-23-2014,1:00 PM,Los Angeles Clippers,Chesapeake Energy Arena,True
2-26-2014,8:00 PM,Cleveland Cavaliers,Chesapeake Energy Arena,True
2-28-2014,8:00 PM,Memphis Grizzlies,Chesapeake Energy Arena,True
3-2-2014,7:00 PM,Charlotte Bobcats,Chesapeake Energy Arena,True
3-4-2014,8:00 PM,Philadelphia 76ers,Chesapeake Energy Arena,True
