DATE,TIME(EST),OPPONENT,ARENA,HOME
10-29-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
10-30-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-1-2013,7:00 PM,New Orleans Pelicans,Amway Center,True
11-3-2013,6:00 PM,Brooklyn Nets,Amway Center,True
11-6-2013,7:00 PM,Los Angeles Clippers,Amway Center,True
11-8-2013,7:00 PM,Boston Celtics,Amway Center,True
11-9-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-11-2013,7:30 PM,Boston Celtics,TD Garden,False
11-13-2013,7:00 PM,Milwaukee Bucks,Amway Center,True
11-16-2013,7:00 PM,Dallas Mavericks,Amway Center,True
11-20-2013,7:00 PM,Miami Heat,Amway Center,True
11-23-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
11-24-2013,6:00 PM,Phoenix Suns,Amway Center,True
11-26-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-27-2013,7:00 PM,Philadelphia 76ers,Amway Center,True
11-29-2013,7:00 PM,San-Antonio Spurs,Amway Center,True
12-2-2013,7:00 PM,Washington Wizards,Verizon Center,False
12-3-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
12-6-2013,7:30 PM,New York Knicks,Madison Square Garden,False
12-8-2013,7:00 PM,Houston Rockets,Toyota Center,False
12-9-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-11-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-13-2013,7:00 PM,Cleveland Cavaliers,Amway Center,True
12-15-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-16-2013,8:00 PM,Chicago Bulls,United Center,False
12-18-2013,7:00 PM,Utah Jazz,Amway Center,True
12-21-2013,7:00 PM,Sacramento Kings,Amway Center,True
12-23-2013,7:00 PM,New York Knicks,Amway Center,True
12-27-2013,7:00 PM,Detroit Pistons,Amway Center,True
12-29-2013,6:00 PM,Atlanta Hawks,Amway Center,True
12-31-2013,5:00 PM,Golden State Warriors,Amway Center,True
1-2-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-4-2014,7:00 PM,Miami Heat,Amway Center,True
1-6-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
1-8-2014,10:00 PM,Portland Trail Blazers,Moda Center,False
1-10-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-11-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-13-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
1-15-2014,7:00 PM,Chicago Bulls,Amway Center,True
1-17-2014,7:00 PM,Charlotte Bobcats,Amway Center,True
1-19-2014,6:00 PM,Boston Celtics,Amway Center,True
1-21-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-22-2014,7:00 PM,Atlanta Hawks,Amway Center,True
1-24-2014,7:00 PM,Los Angeles Lakers,Amway Center,True
1-26-2014,6:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-28-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
1-29-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-31-2014,7:00 PM,Milwaukee Bucks,Amway Center,True
2-2-2014,1:00 PM,Boston Celtics,TD Garden,False
2-3-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
2-5-2014,8:00 PM,Detroit Pistons,Amway Center,True
2-7-2014,7:00 PM,Oklahoma City Thunder,Amway Center,True
2-9-2014,6:00 PM,Indiana Pacers,Amway Center,True
2-12-2014,7:00 PM,Memphis Grizzlies,Amway Center,True
2-18-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
2-19-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
2-21-2014,7:00 PM,New York Knicks,Amway Center,True
2-23-2014,6:00 PM,Toronto Raptors,Air Canada Centre,False
2-25-2014,7:00 PM,Washington Wizards,Verizon Center,False
2-26-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
3-1-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
3-2-2014,6:00 PM,Philadelphia 76ers,Amway Center,True
3-5-2014,7:00 PM,Houston Rockets,Amway Center,True
3-8-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
3-10-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
3-12-2014,7:00 PM,Denver Nuggets,Amway Center,True
3-14-2014,7:00 PM,Washington Wizards,Amway Center,True
3-18-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-19-2014,10:00 PM,Phoenix Suns,US Airways Center,False
3-22-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
3-23-2014,9:30 PM,Los Angeles Lakers,Staples Center,False
3-25-2014,7:00 PM,Portland Trail Blazers,Amway Center,True
3-28-2014,7:00 PM,Charlotte Bobcats,Amway Center,True
3-30-2014,6:00 PM,Toronto Raptors,Amway Center,True
4-2-2014,7:00 PM,Cleveland Cavaliers,Amway Center,True
4-4-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
4-5-2014,7:00 PM,Minnesota Timberwolves,Amway Center,True
4-9-2014,7:00 PM,Brooklyn Nets,Amway Center,True
4-11-2014,7:00 PM,Washington Wizards,Amway Center,True
4-13-2014,6:00 PM,Brooklyn Nets,Barclays Center,False
4-14-2014,8:00 PM,Chicago Bulls,United Center,False
4-16-2014,8:00 PM,Indiana Pacers,Amway Center,True
