DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,10:00 PM,Phoenix Suns,US Airways Center,False
11-1-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
11-2-2013,10:00 PM,San-Antonio Spurs,Moda Center,True
11-5-2013,10:00 PM,Houston Rockets,Moda Center,True
11-8-2013,10:00 PM,Sacramento Kings,Moda Center,True
11-9-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
11-11-2013,10:00 PM,Detroit Pistons,Moda Center,True
11-13-2013,10:00 PM,Phoenix Suns,Moda Center,True
11-15-2013,7:30 PM,Boston Celtics,TD Garden,False
11-17-2013,1:00 PM,Toronto Raptors,Air Canada Centre,False
11-18-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
11-20-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-22-2013,10:00 PM,Chicago Bulls,Moda Center,True
11-23-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-25-2013,10:00 PM,New York Knicks,Moda Center,True
11-27-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-1-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
12-2-2013,10:00 PM,Indiana Pacers,Moda Center,True
12-4-2013,10:00 PM,Oklahoma City Thunder,Moda Center,True
12-6-2013,10:00 PM,Utah Jazz,Moda Center,True
12-7-2013,10:00 PM,Dallas Mavericks,Moda Center,True
12-9-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
12-12-2013,10:30 PM,Houston Rockets,Moda Center,True
12-14-2013,8:00 PM,Philadelphia 76ers,Wells Fargo Center,False
12-15-2013,6:00 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-17-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-18-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
12-21-2013,10:00 PM,New Orleans Pelicans,Moda Center,True
12-26-2013,10:30 PM,Los Angeles Clippers,Moda Center,True
12-28-2013,10:00 PM,Miami Heat,Moda Center,True
12-30-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
12-31-2013,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-2-2014,10:00 PM,Charlotte Bobcats,Moda Center,True
1-4-2014,10:00 PM,Philadelphia 76ers,Moda Center,True
1-7-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-8-2014,10:00 PM,Orlando Magic,Moda Center,True
1-11-2014,10:00 PM,Boston Celtics,Moda Center,True
1-15-2014,10:00 PM,Cleveland Cavaliers,Moda Center,True
1-17-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
1-18-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
1-20-2014,8:00 PM,Houston Rockets,Toyota Center,False
1-21-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-23-2014,10:30 PM,Denver Nuggets,Moda Center,True
1-25-2014,10:00 PM,Minnesota Timberwolves,Moda Center,True
1-26-2014,9:00 PM,Golden State Warriors,Oracle Arena,False
1-28-2014,10:00 PM,Memphis Grizzlies,Moda Center,True
2-1-2014,10:00 PM,Toronto Raptors,Moda Center,True
2-3-2014,7:00 PM,Washington Wizards,Verizon Center,False
2-5-2014,7:30 PM,New York Knicks,Madison Square Garden,False
2-7-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
2-8-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
2-11-2014,10:00 PM,Oklahoma City Thunder,Moda Center,True
2-12-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-19-2014,10:00 PM,San-Antonio Spurs,Moda Center,True
2-21-2014,10:00 PM,Utah Jazz,Moda Center,True
2-23-2014,9:00 PM,Minnesota Timberwolves,Moda Center,True
2-25-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
2-26-2014,10:00 PM,Brooklyn Nets,Moda Center,True
3-1-2014,10:00 PM,Denver Nuggets,Moda Center,True
3-3-2014,10:00 PM,Los Angeles Lakers,Moda Center,True
3-5-2014,10:30 PM,Atlanta Hawks,Moda Center,True
3-7-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
3-9-2014,7:00 PM,Houston Rockets,Toyota Center,False
3-11-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
3-12-2014,9:30 PM,San-Antonio Spurs,AT&T Center,False
3-14-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-16-2014,9:00 PM,Golden State Warriors,Moda Center,True
3-18-2014,10:00 PM,Milwaukee Bucks,Moda Center,True
3-20-2014,10:00 PM,Washington Wizards,Moda Center,True
3-22-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
3-24-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
3-25-2014,7:00 PM,Orlando Magic,Amway Center,False
3-27-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
3-28-2014,8:00 PM,Chicago Bulls,United Center,False
3-30-2014,9:00 PM,Memphis Grizzlies,Moda Center,True
4-1-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
4-4-2014,10:00 PM,Phoenix Suns,Moda Center,True
4-6-2014,9:00 PM,New Orleans Pelicans,Moda Center,True
4-9-2014,10:00 PM,Sacramento Kings,Moda Center,True
4-11-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
4-13-2014,9:00 PM,Golden State Warriors,Moda Center,True
4-16-2014,10:30 PM,Los Angeles Clippers,Moda Center,True
