DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,10:00 PM,Denver Nuggets,Sleep Train Arena,True
11-1-2013,10:00 PM,Los Angeles Clippers,Sleep Train Arena,True
11-2-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-5-2013,10:00 PM,Atlanta Hawks,Sleep Train Arena,True
11-8-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
11-9-2013,10:00 PM,Portland Trail Blazers,Sleep Train Arena,True
11-13-2013,10:00 PM,Brooklyn Nets,Sleep Train Arena,True
11-15-2013,10:30 PM,Detroit Pistons,Sleep Train Arena,True
11-17-2013,6:00 PM,Memphis Grizzlies,Sleep Train Arena,True
11-19-2013,10:00 PM,Phoenix Suns,Sleep Train Arena,True
11-20-2013,9:00 PM,Phoenix Suns,US Airways Center,False
11-23-2013,3:30 PM,Los Angeles Clippers,Staples Center,False
11-24-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
11-29-2013,10:00 PM,Los Angeles Clippers,Sleep Train Arena,True
12-1-2013,6:00 PM,Golden State Warriors,Sleep Train Arena,True
12-3-2013,10:00 PM,Oklahoma City Thunder,Sleep Train Arena,True
12-6-2013,10:00 PM,Los Angeles Lakers,Sleep Train Arena,True
12-7-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
12-9-2013,10:00 PM,Dallas Mavericks,Sleep Train Arena,True
12-11-2013,10:00 PM,Utah Jazz,Sleep Train Arena,True
12-13-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-15-2013,6:00 PM,Houston Rockets,Sleep Train Arena,True
12-17-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-18-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-20-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
12-21-2013,7:00 PM,Orlando Magic,Amway Center,False
12-23-2013,10:00 PM,New Orleans Pelicans,Sleep Train Arena,True
12-27-2013,10:00 PM,Miami Heat,Sleep Train Arena,True
12-29-2013,7:00 PM,San-Antonio Spurs,AT&T Center,False
12-31-2013,7:00 PM,Houston Rockets,Toyota Center,False
1-2-2014,10:00 PM,Philadelphia 76ers,Sleep Train Arena,True
1-4-2014,10:00 PM,Charlotte Bobcats,Sleep Train Arena,True
1-7-2014,10:00 PM,Portland Trail Blazers,Sleep Train Arena,True
