DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,8:30 PM,Memphis Grizzlies,AT&T Center,True
11-1-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
11-2-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
11-5-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
11-6-2013,8:30 PM,Phoenix Suns,AT&T Center,True
11-8-2013,8:30 PM,Golden State Warriors,AT&T Center,True
11-10-2013,12:00 PM,New York Knicks,Madison Square Garden,False
11-11-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-13-2013,8:30 PM,Washington Wizards,AT&T Center,True
11-15-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
11-20-2013,8:30 PM,Boston Celtics,AT&T Center,True
11-22-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-23-2013,8:30 PM,Cleveland Cavaliers,AT&T Center,True
11-25-2013,8:30 PM,New Orleans Pelicans,AT&T Center,True
11-27-2013,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-29-2013,7:00 PM,Orlando Magic,Amway Center,False
11-30-2013,8:30 PM,Houston Rockets,AT&T Center,True
12-2-2013,8:30 PM,Atlanta Hawks,AT&T Center,True
12-4-2013,9:30 PM,Minnesota Timberwolves,Target Center,False
12-7-2013,8:30 PM,Indiana Pacers,AT&T Center,True
12-10-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
12-11-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-13-2013,8:30 PM,Minnesota Timberwolves,AT&T Center,True
12-14-2013,9:00 PM,Utah Jazz,EnergySolutions Arena,False
12-16-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
12-18-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-19-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
12-21-2013,8:30 PM,Oklahoma City Thunder,AT&T Center,True
12-23-2013,8:30 PM,Toronto Raptors,AT&T Center,True
12-25-2013,8:00 PM,Houston Rockets,AT&T Center,True
12-26-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-29-2013,7:00 PM,Sacramento Kings,AT&T Center,True
12-31-2013,7:00 PM,Brooklyn Nets,AT&T Center,True
1-2-2014,8:30 PM,New York Knicks,AT&T Center,True
1-4-2014,8:30 PM,Los Angeles Clippers,AT&T Center,True
1-7-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
1-8-2014,7:00 PM,Dallas Mavericks,AT&T Center,True
1-12-2014,7:00 PM,Minnesota Timberwolves,AT&T Center,True
1-13-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-15-2014,8:00 PM,Utah Jazz,AT&T Center,True
1-17-2014,8:30 PM,Portland Trail Blazers,AT&T Center,True
1-19-2014,7:00 PM,Milwaukee Bucks,AT&T Center,True
1-22-2014,9:30 PM,Oklahoma City Thunder,AT&T Center,True
1-24-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
1-26-2014,1:00 PM,Miami Heat,AmericanAirlines Arena,False
1-28-2014,8:00 PM,Houston Rockets,Toyota Center,False
1-29-2014,9:30 PM,Chicago Bulls,AT&T Center,True
2-1-2014,8:30 PM,Sacramento Kings,AT&T Center,True
2-3-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
2-5-2014,7:00 PM,Washington Wizards,Verizon Center,False
2-6-2014,8:00 PM,Brooklyn Nets,Barclays Center,False
2-8-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
2-10-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-12-2014,7:30 PM,Boston Celtics,TD Garden,False
2-18-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-19-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
2-21-2014,9:00 PM,Phoenix Suns,US Airways Center,False
2-26-2014,8:30 PM,Detroit Pistons,AT&T Center,True
2-28-2014,8:30 PM,Charlotte Bobcats,AT&T Center,True
3-2-2014,7:00 PM,Dallas Mavericks,AT&T Center,True
3-4-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-6-2014,8:00 PM,Miami Heat,AT&T Center,True
3-8-2014,8:30 PM,Orlando Magic,AT&T Center,True
3-11-2014,8:00 PM,Chicago Bulls,United Center,False
3-12-2014,9:30 PM,Portland Trail Blazers,AT&T Center,True
3-14-2014,8:30 PM,Los Angeles Lakers,AT&T Center,True
3-16-2014,7:00 PM,Utah Jazz,AT&T Center,True
3-19-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
3-21-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
3-22-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
3-24-2014,8:30 PM,Philadelphia 76ers,AT&T Center,True
3-26-2014,8:30 PM,Denver Nuggets,AT&T Center,True
3-28-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
3-29-2014,8:30 PM,New Orleans Pelicans,AT&T Center,True
3-31-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
4-2-2014,8:30 PM,Golden State Warriors,AT&T Center,True
4-3-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-6-2014,7:00 PM,Memphis Grizzlies,AT&T Center,True
4-10-2014,8:00 PM,Dallas Mavericks,American Airlines Center,False
4-11-2014,8:30 PM,Phoenix Suns,AT&T Center,True
4-14-2014,8:00 PM,Houston Rockets,Toyota Center,False
4-16-2014,8:00 PM,Los Angeles Lakers,AT&T Center,True
