DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:00 PM,Boston Celtics,Air Canada Centre,True
11-1-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-2-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-5-2013,7:00 PM,Miami Heat,Air Canada Centre,True
11-6-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
11-8-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-9-2013,7:00 PM,Utah Jazz,Air Canada Centre,True
11-11-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-13-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
11-15-2013,7:00 PM,Chicago Bulls,Air Canada Centre,True
11-17-2013,1:00 PM,Portland Trail Blazers,Air Canada Centre,True
11-20-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-22-2013,7:00 PM,Washington Wizards,Air Canada Centre,True
11-26-2013,7:00 PM,Brooklyn Nets,Air Canada Centre,True
11-29-2013,7:00 PM,Miami Heat,Air Canada Centre,True
12-1-2013,1:00 PM,Denver Nuggets,Air Canada Centre,True
12-3-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
12-6-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-8-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
12-10-2013,7:00 PM,San-Antonio Spurs,Air Canada Centre,True
12-13-2013,7:00 PM,Philadelphia 76ers,Air Canada Centre,True
12-14-2013,8:00 PM,Chicago Bulls,United Center,False
12-18-2013,7:00 PM,Charlotte Bobcats,Air Canada Centre,True
12-20-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
12-22-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-23-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
12-27-2013,7:30 PM,New York Knicks,Madison Square Garden,False
12-28-2013,7:00 PM,New York Knicks,Air Canada Centre,True
12-31-2013,7:00 PM,Chicago Bulls,United Center,False
1-1-2014,7:00 PM,Indiana Pacers,Air Canada Centre,True
1-3-2014,7:00 PM,Washington Wizards,Verizon Center,False
1-5-2014,6:00 PM,Miami Heat,AmericanAirlines Arena,False
1-7-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
1-8-2014,7:00 PM,Detroit Pistons,Air Canada Centre,True
1-11-2014,7:00 PM,Brooklyn Nets,Air Canada Centre,True
1-13-2014,7:00 PM,Milwaukee Bucks,Air Canada Centre,True
1-15-2014,7:30 PM,Boston Celtics,TD Garden,False
1-17-2014,7:00 PM,Minnesota Timberwolves,Air Canada Centre,True
1-19-2014,1:00 PM,Los Angeles Lakers,Air Canada Centre,True
1-20-2014,2:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-22-2014,7:00 PM,Dallas Mavericks,Air Canada Centre,True
1-24-2014,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
1-25-2014,7:00 PM,Los Angeles Clippers,Air Canada Centre,True
1-27-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
1-29-2014,7:00 PM,Orlando Magic,Air Canada Centre,True
1-31-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
2-1-2014,10:00 PM,Portland Trail Blazers,Moda Center,False
2-3-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-5-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
2-7-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-10-2014,7:00 PM,New Orleans Pelicans,Air Canada Centre,True
2-12-2014,7:00 PM,Atlanta Hawks,Air Canada Centre,True
2-18-2014,7:00 PM,Washington Wizards,Verizon Center,False
2-19-2014,7:00 PM,Chicago Bulls,Air Canada Centre,True
2-21-2014,7:00 PM,Cleveland Cavaliers,Air Canada Centre,True
2-23-2014,6:00 PM,Orlando Magic,Air Canada Centre,True
2-25-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
2-27-2014,7:00 PM,Washington Wizards,Air Canada Centre,True
3-2-2014,4:00 PM,Golden State Warriors,Air Canada Centre,True
3-7-2014,7:00 PM,Sacramento Kings,Air Canada Centre,True
3-9-2014,7:00 PM,Minnesota Timberwolves,Target Center,False
3-10-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
3-12-2014,7:00 PM,Detroit Pistons,Air Canada Centre,True
3-14-2014,7:00 PM,Memphis Grizzlies,Air Canada Centre,True
3-16-2014,1:00 PM,Phoenix Suns,Air Canada Centre,True
3-18-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
3-19-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-21-2014,7:00 PM,Oklahoma City Thunder,Air Canada Centre,True
3-23-2014,1:00 PM,Atlanta Hawks,Air Canada Centre,True
3-25-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-26-2014,7:30 PM,Boston Celtics,TD Garden,False
3-28-2014,7:00 PM,Boston Celtics,Air Canada Centre,True
3-30-2014,6:00 PM,Orlando Magic,Amway Center,False
3-31-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
4-2-2014,7:00 PM,Houston Rockets,Air Canada Centre,True
4-4-2014,7:00 PM,Indiana Pacers,Air Canada Centre,True
4-5-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
4-9-2014,7:00 PM,Philadelphia 76ers,Air Canada Centre,True
4-11-2014,7:00 PM,New York Knicks,Air Canada Centre,True
4-13-2014,3:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
