DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,9:00 PM,Oklahoma City Thunder,EnergySolutions Arena,True
11-1-2013,10:00 PM,Phoenix Suns,US Airways Center,False
11-2-2013,9:00 PM,Houston Rockets,EnergySolutions Arena,True
11-5-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
11-6-2013,7:30 PM,Boston Celtics,TD Garden,False
11-8-2013,8:00 PM,Chicago Bulls,United Center,False
11-9-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-11-2013,9:00 PM,Denver Nuggets,EnergySolutions Arena,True
11-13-2013,9:00 PM,New Orleans Pelicans,EnergySolutions Arena,True
11-15-2013,9:00 PM,San-Antonio Spurs,EnergySolutions Arena,True
11-16-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
11-18-2013,9:00 PM,Golden State Warriors,EnergySolutions Arena,True
11-20-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-22-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-24-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-25-2013,9:00 PM,Chicago Bulls,EnergySolutions Arena,True
11-29-2013,9:00 PM,Phoenix Suns,EnergySolutions Arena,True
11-30-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-2-2013,9:00 PM,Houston Rockets,EnergySolutions Arena,True
12-4-2013,9:00 PM,Indiana Pacers,EnergySolutions Arena,True
12-6-2013,10:00 PM,Portland Trail Blazers,Rose Garden,False
12-7-2013,9:00 PM,Sacramento Kings,EnergySolutions Arena,True
12-9-2013,9:00 PM,Portland Trail Blazers,EnergySolutions Arena,True
12-11-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
12-13-2013,9:00 PM,Denver Nuggets,Pepsi Center,False
12-14-2013,9:00 PM,San-Antonio Spurs,EnergySolutions Arena,True
12-16-2013,7:30 PM,Miami Heat,AmericanAirlines Arena,False
12-18-2013,7:00 PM,Orlando Magic,Amway Center,False
12-20-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-21-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-23-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-27-2013,9:00 PM,Los Angeles Lakers,EnergySolutions Arena,True
12-28-2013,10:30 PM,Los Angeles Clippers,Staples Center,False
12-30-2013,9:00 PM,Charlotte Bobcats,EnergySolutions Arena,True
1-2-2014,9:00 PM,Milwaukee Bucks,EnergySolutions Arena,True
1-3-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
1-7-2014,9:00 PM,Oklahoma City Thunder,EnergySolutions Arena,True
1-10-2014,9:00 PM,Cleveland Cavaliers,EnergySolutions Arena,True
1-13-2014,9:00 PM,Denver Nuggets,EnergySolutions Arena,True
1-15-2014,8:00 PM,San-Antonio Spurs,AT&T Center,False
1-17-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
1-18-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
1-21-2014,9:00 PM,Minnesota Timberwolves,EnergySolutions Arena,True
1-25-2014,9:00 PM,Washington Wizards,EnergySolutions Arena,True
1-27-2014,9:00 PM,Sacramento Kings,EnergySolutions Arena,True
1-31-2014,10:30 PM,Golden State Warriors,EnergySolutions Arena,True
2-1-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-3-2014,9:00 PM,Toronto Raptors,EnergySolutions Arena,True
2-7-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
2-8-2014,9:00 PM,Miami Heat,EnergySolutions Arena,True
2-11-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
2-12-2014,9:00 PM,Philadelphia 76ers,EnergySolutions Arena,True
2-19-2014,9:00 PM,Brooklyn Nets,EnergySolutions Arena,True
2-21-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
2-22-2014,9:00 PM,Minnesota Timberwolves,EnergySolutions Arena,True
2-24-2014,9:00 PM,Boston Celtics,EnergySolutions Arena,True
2-26-2014,9:00 PM,Phoenix Suns,EnergySolutions Arena,True
2-28-2014,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
3-2-2014,6:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-3-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
3-5-2014,7:00 PM,Washington Wizards,Verizon Center,False
3-7-2014,7:30 PM,New York Knicks,Madison Square Garden,False
3-8-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
3-10-2014,9:00 PM,Atlanta Hawks,EnergySolutions Arena,True
3-12-2014,9:00 PM,Dallas Mavericks,EnergySolutions Arena,True
3-14-2014,9:00 PM,Los Angeles Clippers,EnergySolutions Arena,True
3-16-2014,7:00 PM,San-Antonio Spurs,AT&T Center,False
3-17-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-19-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
3-22-2014,9:00 PM,Orlando Magic,EnergySolutions Arena,True
3-24-2014,9:00 PM,Detroit Pistons,EnergySolutions Arena,True
3-26-2014,10:30 PM,Memphis Grizzlies,EnergySolutions Arena,True
3-28-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-30-2014,3:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-31-2014,9:00 PM,New York Knicks,EnergySolutions Arena,True
4-4-2014,9:00 PM,New Orleans Pelicans,EnergySolutions Arena,True
4-6-2014,9:00 PM,Golden State Warriors,Oracle Arena,False
4-8-2014,9:00 PM,Dallas Mavericks,EnergySolutions Arena,True
4-11-2014,9:00 PM,Portland Trail Blazers,EnergySolutions Arena,True
4-12-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
4-14-2014,9:00 PM,Los Angeles Lakers,EnergySolutions Arena,True
4-16-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
