DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
11-1-2013,7:00 PM,Philadelphia 76ers,Verizon Center,True
11-3-2013,6:00 PM,Miami Heat,AmericanAirlines Arena,False
11-6-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
11-8-2013,7:00 PM,Brooklyn Nets,Verizon Center,True
11-10-2013,7:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-12-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-13-2013,8:30 PM,San-Antonio Spurs,AT&T Center,False
11-16-2013,7:00 PM,Cleveland Cavaliers,Verizon Center,True
11-19-2013,7:00 PM,Minnesota Timberwolves,Verizon Center,True
11-20-2013,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-22-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
11-23-2013,7:00 PM,New York Knicks,Verizon Center,True
11-26-2013,7:00 PM,Los Angeles Lakers,Verizon Center,True
11-27-2013,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
11-29-2013,8:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-30-2013,7:00 PM,Atlanta Hawks,Verizon Center,True
12-2-2013,7:00 PM,Orlando Magic,Verizon Center,True
12-6-2013,7:00 PM,Milwaukee Bucks,Verizon Center,True
12-9-2013,7:00 PM,Denver Nuggets,Verizon Center,True
12-13-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-14-2013,7:00 PM,Los Angeles Clippers,Verizon Center,True
12-16-2013,7:30 PM,New York Knicks,Madison Square Garden,False
12-18-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
12-21-2013,1:00 PM,Boston Celtics,TD Garden,False
12-27-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
12-28-2013,7:00 PM,Detroit Pistons,Verizon Center,True
12-30-2013,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
1-1-2014,6:00 PM,Dallas Mavericks,Verizon Center,True
1-3-2014,7:00 PM,Toronto Raptors,Verizon Center,True
1-5-2014,6:00 PM,Golden State Warriors,Verizon Center,True
1-7-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-8-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
1-10-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
1-11-2014,7:00 PM,Houston Rockets,Verizon Center,True
1-13-2014,8:00 PM,Chicago Bulls,United Center,False
1-15-2014,7:00 PM,Miami Heat,Verizon Center,True
1-17-2014,7:00 PM,Chicago Bulls,Verizon Center,True
1-18-2014,7:00 PM,Detroit Pistons,Verizon Center,True
1-20-2014,2:00 PM,Philadelphia 76ers,Verizon Center,True
1-22-2014,7:00 PM,Boston Celtics,Verizon Center,True
1-24-2014,9:00 PM,Phoenix Suns,US Airways Center,False
1-25-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
1-28-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
1-29-2014,10:30 PM,Los Angeles Clippers,Staples Center,False
2-1-2014,7:00 PM,Oklahoma City Thunder,Verizon Center,True
2-3-2014,7:00 PM,Portland Trail Blazers,Verizon Center,True
2-5-2014,7:00 PM,San-Antonio Spurs,Verizon Center,True
2-7-2014,7:00 PM,Cleveland Cavaliers,Verizon Center,True
2-9-2014,6:00 PM,Sacramento Kings,Verizon Center,True
2-11-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
2-12-2014,8:00 PM,Houston Rockets,Toyota Center,False
2-18-2014,7:00 PM,Toronto Raptors,Verizon Center,True
2-19-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
2-22-2014,7:00 PM,New Orleans Pelicans,Verizon Center,True
2-23-2014,6:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
2-25-2014,7:00 PM,Orlando Magic,Verizon Center,True
2-27-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
3-1-2014,7:30 PM,Philadelphia 76ers,Wells Fargo Center,False
3-3-2014,7:00 PM,Memphis Grizzlies,Verizon Center,True
3-5-2014,7:00 PM,Utah Jazz,Verizon Center,True
3-8-2014,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
3-10-2014,7:30 PM,Miami Heat,AmericanAirlines Arena,False
3-12-2014,7:00 PM,Charlotte Bobcats,Verizon Center,True
3-14-2014,7:00 PM,Orlando Magic,Amway Center,False
3-15-2014,7:00 PM,Brooklyn Nets,Verizon Center,True
3-18-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
3-20-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
3-21-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
3-23-2014,5:00 PM,Denver Nuggets,Pepsi Center,False
3-26-2014,7:00 PM,Phoenix Suns,Verizon Center,True
3-28-2014,7:00 PM,Indiana Pacers,Verizon Center,True
3-29-2014,8:00 PM,Atlanta Hawks,Verizon Center,True
3-31-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
4-2-2014,7:00 PM,Boston Celtics,Verizon Center,True
4-4-2014,7:30 PM,New York Knicks,Madison Square Garden,False
4-5-2014,7:00 PM,Chicago Bulls,Verizon Center,True
4-9-2014,7:00 PM,Charlotte Bobcats,Verizon Center,True
4-11-2014,7:00 PM,Orlando Magic,Amway Center,False
4-12-2014,7:00 PM,Milwaukee Bucks,Verizon Center,True
4-14-2014,7:00 PM,Miami Heat,Verizon Center,True
4-16-2014,8:00 PM,Boston Celtics,TD Garden,False
